Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
malaysia-2006-2007,1,2006-12-16,,saturday,Perlis FA,Pahang FA,2,1,3,H,W,L,,,,,,,
malaysia-2006-2007,1,2006-12-16,,saturday,PKNS FC,Malacca FA,1,0,1,H,W,L,,,,,,,
malaysia-2006-2007,1,2006-12-16,,saturday,Penang FA,Melaka TMFC,0,0,0,D,D,D,0,0,0,D,D,D,
malaysia-2006-2007,1,2006-12-16,,saturday,Kedah FA,Brunei,1,2,3,A,L,W,,,,,,,
malaysia-2006-2007,1,2006-12-16,,saturday,Johor FC,Negeri Sembilan FA,0,0,0,D,D,D,0,0,0,D,D,D,
malaysia-2006-2007,1,2006-12-16,,saturday,Perak FA,Sarawak FA,2,1,3,H,W,L,,,,,,,
malaysia-2006-2007,2,2006-12-20,,wednesday,Malacca FA,Perlis FA,0,3,3,A,L,W,,,,,,,
malaysia-2006-2007,2,2006-12-20,,wednesday,Melaka TMFC,PKNS FC,2,1,3,H,W,L,,,,,,,
malaysia-2006-2007,2,2006-12-20,,wednesday,Brunei,Penang FA,1,1,2,D,D,D,,,,,,,
malaysia-2006-2007,2,2006-12-20,,wednesday,Negeri Sembilan FA,Kedah FA,0,1,1,A,L,W,,,,,,,
malaysia-2006-2007,2,2006-12-20,,wednesday,Sarawak FA,Johor FC,1,2,3,A,L,W,,,,,,,
malaysia-2006-2007,2,2006-12-20,,wednesday,Terengganu FA,Perak FA,0,0,0,D,D,D,0,0,0,D,D,D,
malaysia-2006-2007,3,2006-12-23,,saturday,Melaka TMFC,Perlis FA,0,1,1,A,L,W,,,,,,,
malaysia-2006-2007,3,2006-12-23,,saturday,Malacca FA,Pahang FA,1,2,3,A,L,W,,,,,,,
malaysia-2006-2007,3,2006-12-23,,saturday,PKNS FC,Brunei,2,1,3,H,W,L,,,,,,,
malaysia-2006-2007,3,2006-12-23,,saturday,Penang FA,Negeri Sembilan FA,1,0,1,H,W,L,,,,,,,
malaysia-2006-2007,3,2006-12-23,,saturday,Johor FC,Terengganu FA,0,2,2,A,L,W,,,,,,,
malaysia-2006-2007,4,2006-12-27,,wednesday,Brunei,Perlis FA,2,2,4,D,D,D,,,,,,,
malaysia-2006-2007,4,2006-12-27,,wednesday,Melaka TMFC,Pahang FA,1,2,3,A,L,W,,,,,,,
malaysia-2006-2007,4,2006-12-27,,wednesday,Negeri Sembilan FA,PKNS FC,3,1,4,H,W,L,,,,,,,
malaysia-2006-2007,4,2006-12-27,,wednesday,Sarawak FA,Penang FA,0,3,3,A,L,W,,,,,,,
malaysia-2006-2007,4,2006-12-27,,wednesday,Terengganu FA,Kedah FA,3,2,5,H,W,L,,,,,,,
malaysia-2006-2007,4,2006-12-27,,wednesday,Perak FA,Johor FC,0,0,0,D,D,D,0,0,0,D,D,D,
malaysia-2006-2007,5,2007-01-03,,wednesday,Perlis FA,Negeri Sembilan FA,3,0,3,H,W,L,,,,,,,
malaysia-2006-2007,5,2007-01-03,,wednesday,Pahang FA,Brunei,1,1,2,D,D,D,,,,,,,
malaysia-2006-2007,5,2007-01-03,,wednesday,Malacca FA,Melaka TMFC,2,2,4,D,D,D,,,,,,,
malaysia-2006-2007,5,2007-01-03,,wednesday,PKNS FC,Sarawak FA,2,1,3,H,W,L,,,,,,,
malaysia-2006-2007,5,2007-01-03,,wednesday,Penang FA,Terengganu FA,0,1,1,A,L,W,,,,,,,
malaysia-2006-2007,5,2007-01-03,,wednesday,Kedah FA,Perak FA,4,3,7,H,W,L,,,,,,,
malaysia-2006-2007,6,2007-01-06,,saturday,Sarawak FA,Perlis FA,2,2,4,D,D,D,,,,,,,
malaysia-2006-2007,6,2007-01-06,,saturday,Negeri Sembilan FA,Pahang FA,0,1,1,A,L,W,,,,,,,
malaysia-2006-2007,6,2007-01-06,,saturday,Brunei,Malacca FA,4,0,4,H,W,L,,,,,,,
malaysia-2006-2007,6,2007-01-06,,saturday,Terengganu FA,PKNS FC,1,0,1,H,W,L,,,,,,,
malaysia-2006-2007,6,2007-01-06,,saturday,Perak FA,Penang FA,0,0,0,D,D,D,0,0,0,D,D,D,
malaysia-2006-2007,6,2007-01-06,,saturday,Johor FC,Kedah FA,1,2,3,A,L,W,,,,,,,
