Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
scotland-1890-1891,1,1890-08-16,,saturday,Cambuslang FC,Vale Of Leven,8,2,10,H,W,L,,,,,,,
scotland-1890-1891,1,1890-08-16,,saturday,Dumbarton FC,Cowlairs FC,1,1,2,D,D,D,,,,,,,
scotland-1890-1891,1,1890-08-16,,saturday,Rangers FC,Heart of Midlothian,5,2,7,H,W,L,,,,,,,
scotland-1890-1891,1,1890-08-23,,saturday,Cambuslang FC,Rangers FC,2,6,8,A,L,W,,,,,,,
scotland-1890-1891,1,1890-08-23,,saturday,Cowlairs FC,Vale Of Leven,3,2,5,H,W,L,,,,,,,
scotland-1890-1891,1,1890-08-23,,saturday,Heart of Midlothian,Celtic FC,0,5,5,A,L,W,,,,,,,
scotland-1890-1891,1,1890-08-23,,saturday,Third Lanark,Dumbarton FC,1,3,4,A,L,W,,,,,,,
scotland-1890-1891,1,1890-08-30,,saturday,Celtic FC,Cambuslang FC,5,2,7,H,W,L,,,,,,,
scotland-1890-1891,1,1890-08-30,,saturday,Dumbarton FC,Heart of Midlothian,3,1,4,H,W,L,,,,,,,
scotland-1890-1891,1,1890-08-30,,saturday,St. Mirren FC,Cowlairs FC,5,2,7,H,W,L,,,,,,,
scotland-1890-1891,1,1890-08-30,,saturday,Vale Of Leven,Abercorn FC,2,1,3,H,W,L,,,,,,,
scotland-1890-1891,2,1890-09-13,,saturday,Cambuslang FC,St. Mirren FC,3,2,5,H,W,L,,,,,,,
scotland-1890-1891,2,1890-09-13,,saturday,Dumbarton FC,Rangers FC,5,1,6,H,W,L,,,,,,,
scotland-1890-1891,2,1890-09-13,,saturday,Heart of Midlothian,Cowlairs FC,4,0,4,H,W,L,,,,,,,
scotland-1890-1891,2,1890-09-13,,saturday,Third Lanark,Celtic FC,2,1,3,H,W,L,,,,,,,
scotland-1890-1891,2,1890-09-20,,saturday,St. Mirren FC,Abercorn FC,4,2,6,H,W,L,,,,,,,
scotland-1890-1891,3,1890-10-04,,saturday,Abercorn FC,Third Lanark,2,4,6,A,L,W,,,,,,,
scotland-1890-1891,3,1890-10-04,,saturday,Rangers FC,St. Mirren FC,8,2,10,H,W,L,,,,,,,
scotland-1890-1891,3,1890-10-04,,saturday,Vale Of Leven,Dumbarton FC,1,3,4,A,L,W,,,,,,,
scotland-1890-1891,3,1890-10-11,,saturday,Dumbarton FC,Abercorn FC,5,1,6,H,W,L,,,,,,,
scotland-1890-1891,3,1890-10-11,,saturday,St. Mirren FC,Vale Of Leven,1,1,2,D,D,D,,,,,,,
scotland-1890-1891,3,1890-10-18,,saturday,Rangers FC,Cowlairs FC,1,1,2,D,D,D,,,,,,,
scotland-1890-1891,3,1890-10-25,,saturday,Abercorn FC,Celtic FC,1,5,6,A,L,W,,,,,,,
scotland-1890-1891,3,1890-10-25,,saturday,Cowlairs FC,Dumbarton FC,1,6,7,A,L,W,,,,,,,
scotland-1890-1891,3,1890-10-25,,saturday,Heart of Midlothian,Vale Of Leven,8,1,9,H,W,L,,,,,,,
scotland-1890-1891,3,1890-10-25,,saturday,Third Lanark,St. Mirren FC,5,3,8,H,W,L,,,,,,,
scotland-1890-1891,4,1890-12-06,,saturday,Abercorn FC,Cambuslang FC,2,5,7,A,L,W,,,,,,,
scotland-1890-1891,4,1890-12-27,,saturday,Abercorn FC,Dumbarton FC,1,2,3,A,L,W,,,,,,,
scotland-1890-1891,5,1891-01-17,,saturday,Cambuslang FC,Cowlairs FC,4,0,4,H,W,L,,,,,,,
scotland-1890-1891,5,1891-01-17,,saturday,Vale Of Leven,Rangers FC,1,3,4,A,L,W,,,,,,,
scotland-1890-1891,5,1891-01-24,,saturday,Abercorn FC,St. Mirren FC,5,1,6,H,W,L,,,,,,,
scotland-1890-1891,5,1891-01-24,,saturday,Dumbarton FC,Cambuslang FC,5,0,5,H,W,L,,,,,,,
scotland-1890-1891,5,1891-01-24,,saturday,Heart of Midlothian,Rangers FC,0,1,1,A,L,W,,,,,,,
scotland-1890-1891,5,1891-01-24,,saturday,Vale Of Leven,Celtic FC,3,1,4,H,W,L,,,,,,,
scotland-1890-1891,6,1891-02-07,,saturday,Abercorn FC,Rangers FC,1,1,2,D,D,D,,,,,,,
scotland-1890-1891,6,1891-02-07,,saturday,Celtic FC,St. Mirren FC,3,2,5,H,W,L,,,,,,,
scotland-1890-1891,6,1891-02-07,,saturday,Vale Of Leven,Cowlairs FC,2,1,3,H,W,L,,,,,,,
scotland-1890-1891,6,1891-02-14,,saturday,Heart of Midlothian,Cambuslang FC,2,2,4,D,D,D,,,,,,,
