Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
ireland-2003,1,2003-04-10,19:45,200304101945,thursday,Derry City,Longford Town,2,3,5,A,L,W,,,,,,,
ireland-2003,1,2003-04-11,19:30,200304111930,friday,Waterford United,Shelbourne FC,0,4,4,A,L,W,,,,,,,
ireland-2003,1,2003-04-11,19:45,200304111945,friday,Bohemian FC,UC Dublin,1,0,1,H,W,L,,,,,,,
ireland-2003,1,2003-04-11,19:45,200304111945,friday,Shamrock Rovers,Drogheda United,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,1,2003-04-12,17:00,200304121700,saturday,Cork City,St Patrick's Athletic,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,2,2003-04-17,19:45,200304171945,thursday,St Patrick's Athletic,Shamrock Rovers,1,1,2,D,D,D,,,,,,,
ireland-2003,2,2003-04-17,20:00,200304172000,thursday,Drogheda United,Waterford United,1,3,4,A,L,W,,,,,,,
ireland-2003,2,2003-04-18,19:45,200304181945,friday,UC Dublin,Cork City,0,3,3,A,L,W,,,,,,,
ireland-2003,2,2003-04-18,19:45,200304181945,friday,Shelbourne FC,Derry City,1,0,1,H,W,L,,,,,,,
ireland-2003,2,2003-04-19,19:30,200304191930,saturday,Longford Town,Bohemian FC,1,1,2,D,D,D,,,,,,,
ireland-2003,3,2003-04-21,15:00,200304211500,monday,Waterford United,St Patrick's Athletic,4,2,6,H,W,L,,,,,,,
ireland-2003,3,2003-04-21,19:45,200304211945,monday,Shamrock Rovers,UC Dublin,1,0,1,H,W,L,,,,,,,
ireland-2003,3,2003-04-22,19:45,200304221945,tuesday,Derry City,Drogheda United,0,1,1,A,L,W,,,,,,,
ireland-2003,3,2003-04-22,19:45,200304221945,tuesday,Shelbourne FC,Longford Town,3,2,5,H,W,L,,,,,,,
ireland-2003,3,2003-04-22,19:45,200304221945,tuesday,Cork City,Bohemian FC,3,2,5,H,W,L,,,,,,,
ireland-2003,4,2003-04-25,19:45,200304251945,friday,St Patrick's Athletic,Derry City,4,1,5,H,W,L,,,,,,,
ireland-2003,4,2003-04-25,19:45,200304251945,friday,UC Dublin,Waterford United,1,2,3,A,L,W,,,,,,,
ireland-2003,4,2003-04-25,20:00,200304252000,friday,Drogheda United,Shelbourne FC,1,1,2,D,D,D,,,,,,,
ireland-2003,4,2003-04-26,19:30,200304261930,saturday,Longford Town,Cork City,0,3,3,A,L,W,,,,,,,
ireland-2003,4,2003-04-27,15:15,200304271515,sunday,Bohemian FC,Shamrock Rovers,1,1,2,D,D,D,,,,,,,
ireland-2003,5,2003-05-01,19:45,200305011945,thursday,Derry City,UC Dublin,1,0,1,H,W,L,,,,,,,
ireland-2003,5,2003-05-02,19:30,200305021930,friday,Waterford United,Bohemian FC,1,3,4,A,L,W,,,,,,,
ireland-2003,5,2003-05-02,20:00,200305022000,friday,Drogheda United,Longford Town,2,2,4,D,D,D,,,,,,,
ireland-2003,5,2003-05-02,20:00,200305022000,friday,Shelbourne FC,St Patrick's Athletic,2,2,4,D,D,D,,,,,,,
ireland-2003,5,2003-05-04,15:15,200305041515,sunday,Shamrock Rovers,Cork City,2,1,3,H,W,L,,,,,,,
ireland-2003,6,2003-05-09,19:45,200305091945,friday,St Patrick's Athletic,Drogheda United,3,1,4,H,W,L,,,,,,,
ireland-2003,6,2003-05-09,19:45,200305091945,friday,UC Dublin,Shelbourne FC,0,2,2,A,L,W,,,,,,,
ireland-2003,6,2003-05-09,19:45,200305091945,friday,Bohemian FC,Derry City,1,1,2,D,D,D,,,,,,,
ireland-2003,6,2003-05-09,19:45,200305091945,friday,Cork City,Waterford United,1,1,2,D,D,D,,,,,,,
ireland-2003,6,2003-05-10,19:30,200305101930,saturday,Longford Town,Shamrock Rovers,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,7,2003-05-15,19:45,200305151945,thursday,Derry City,Cork City,1,0,1,H,W,L,,,,,,,
ireland-2003,7,2003-05-16,19:30,200305161930,friday,Waterford United,Shamrock Rovers,2,0,2,H,W,L,,,,,,,
ireland-2003,7,2003-05-16,19:45,200305161945,friday,St Patrick's Athletic,Longford Town,1,1,2,D,D,D,,,,,,,
ireland-2003,7,2003-05-16,19:45,200305161945,friday,Shelbourne FC,Bohemian FC,2,2,4,D,D,D,,,,,,,
ireland-2003,7,2003-05-16,20:00,200305162000,friday,Drogheda United,UC Dublin,2,0,2,H,W,L,,,,,,,
ireland-2003,8,2003-05-23,19:30,200305231930,friday,Waterford United,Longford Town,1,1,2,D,D,D,,,,,,,
ireland-2003,8,2003-05-23,19:45,200305231945,friday,Shamrock Rovers,Derry City,5,1,6,H,W,L,,,,,,,
ireland-2003,8,2003-05-23,19:45,200305231945,friday,UC Dublin,St Patrick's Athletic,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,8,2003-05-23,19:45,200305231945,friday,Bohemian FC,Drogheda United,1,0,1,H,W,L,,,,,,,
ireland-2003,8,2003-05-23,19:45,200305231945,friday,Cork City,Shelbourne FC,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,9,2003-05-29,19:45,200305291945,thursday,Derry City,Waterford United,4,1,5,H,W,L,,,,,,,
ireland-2003,9,2003-05-30,19:45,200305301945,friday,St Patrick's Athletic,Bohemian FC,1,0,1,H,W,L,,,,,,,
ireland-2003,9,2003-05-30,19:45,200305301945,friday,Shelbourne FC,Shamrock Rovers,1,0,1,H,W,L,,,,,,,
ireland-2003,9,2003-05-31,17:00,200305311700,saturday,Drogheda United,Cork City,3,1,4,H,W,L,,,,,,,
ireland-2003,9,2003-05-31,19:30,200305311930,saturday,Longford Town,UC Dublin,2,1,3,H,W,L,,,,,,,
ireland-2003,10,2003-06-04,19:45,200306041945,wednesday,Shelbourne FC,Waterford United,1,1,2,D,D,D,,,,,,,
ireland-2003,10,2003-06-06,19:45,200306061945,friday,UC Dublin,Bohemian FC,2,1,3,H,W,L,,,,,,,
ireland-2003,10,2003-06-06,19:45,200306061945,friday,St Patrick's Athletic,Cork City,1,1,2,D,D,D,,,,,,,
ireland-2003,10,2003-06-06,20:00,200306062000,friday,Drogheda United,Shamrock Rovers,1,2,3,A,L,W,,,,,,,
ireland-2003,11,2003-06-12,19:45,200306121945,thursday,Derry City,Shelbourne FC,2,0,2,H,W,L,,,,,,,
ireland-2003,11,2003-06-13,19:30,200306131930,friday,Waterford United,Drogheda United,2,1,3,H,W,L,,,,,,,
ireland-2003,11,2003-06-13,19:45,200306131945,friday,Cork City,UC Dublin,1,0,1,H,W,L,,,,,,,
ireland-2003,11,2003-06-13,19:45,200306131945,friday,Shamrock Rovers,St Patrick's Athletic,1,0,1,H,W,L,,,,,,,
ireland-2003,11,2003-06-13,19:45,200306131945,friday,Bohemian FC,Longford Town,1,1,2,D,D,D,,,,,,,
ireland-2003,12,2003-06-30,19:45,200306301945,monday,St Patrick's Athletic,Waterford United,4,1,5,H,W,L,,,,,,,
ireland-2003,12,2003-06-30,19:45,200306301945,monday,Bohemian FC,Cork City,1,1,2,D,D,D,,,,,,,
ireland-2003,12,2003-07-01,19:45,200307011945,tuesday,Longford Town,Shelbourne FC,0,2,2,A,L,W,,,,,,,
ireland-2003,12,2003-07-01,20:00,200307012000,tuesday,Drogheda United,Derry City,1,0,1,H,W,L,,,,,,,
ireland-2003,13,2003-07-03,19:45,200307031945,thursday,Derry City,St Patrick's Athletic,2,2,4,D,D,D,,,,,,,
ireland-2003,13,2003-07-04,19:30,200307041930,friday,Waterford United,UC Dublin,1,1,2,D,D,D,,,,,,,
ireland-2003,13,2003-07-04,19:45,200307041945,friday,Shelbourne FC,Drogheda United,3,0,3,H,W,L,,,,,,,
ireland-2003,13,2003-07-04,19:45,200307041945,friday,Cork City,Longford Town,4,1,5,H,W,L,,,,,,,
ireland-2003,14,2003-07-11,19:45,200307111945,friday,UC Dublin,Derry City,1,1,2,D,D,D,,,,,,,
ireland-2003,14,2003-07-11,19:45,200307111945,friday,Bohemian FC,Waterford United,5,1,6,H,W,L,,,,,,,
ireland-2003,14,2003-07-11,19:45,200307111945,friday,St Patrick's Athletic,Shelbourne FC,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,14,2003-07-12,19:30,200307121930,saturday,Longford Town,Drogheda United,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,10,2003-07-15,19:45,200307151945,tuesday,Longford Town,Derry City,4,0,4,H,W,L,,,,,,,
ireland-2003,15,2003-07-18,19:30,200307181930,friday,Waterford United,Cork City,2,1,3,H,W,L,,,,,,,
ireland-2003,15,2003-07-18,19:45,200307181945,friday,Shelbourne FC,UC Dublin,1,1,2,D,D,D,,,,,,,
ireland-2003,15,2003-07-18,19:45,200307181945,friday,Shamrock Rovers,Longford Town,2,3,5,A,L,W,,,,,,,
ireland-2003,15,2003-07-18,20:00,200307182000,friday,Drogheda United,St Patrick's Athletic,4,2,6,H,W,L,,,,,,,
ireland-2003,16,2003-08-01,19:45,200308011945,friday,Cork City,Derry City,1,1,2,D,D,D,,,,,,,
ireland-2003,16,2003-08-01,19:45,200308011945,friday,UC Dublin,Drogheda United,1,0,1,H,W,L,,,,,,,
ireland-2003,16,2003-08-01,19:45,200308011945,friday,Shamrock Rovers,Waterford United,0,1,1,A,L,W,,,,,,,
ireland-2003,16,2003-08-02,19:30,200308021930,saturday,Longford Town,St Patrick's Athletic,1,1,2,D,D,D,,,,,,,
ireland-2003,12,2003-08-04,15:15,200308041515,monday,UC Dublin,Shamrock Rovers,2,2,4,D,D,D,,,,,,,
ireland-2003,17,2003-08-07,19:45,200308071945,thursday,Derry City,Shamrock Rovers,1,1,2,D,D,D,,,,,,,
ireland-2003,17,2003-08-07,19:45,200308071945,thursday,St Patrick's Athletic,UC Dublin,2,0,2,H,W,L,,,,,,,
ireland-2003,17,2003-08-07,19:45,200308071945,thursday,Shelbourne FC,Cork City,1,1,2,D,D,D,,,,,,,
ireland-2003,17,2003-08-09,17:00,200308091700,saturday,Drogheda United,Bohemian FC,1,2,3,A,L,W,,,,,,,
ireland-2003,17,2003-08-09,19:30,200308091930,saturday,Longford Town,Waterford United,1,0,1,H,W,L,,,,,,,
ireland-2003,14,2003-08-15,19:45,200308151945,friday,Cork City,Shamrock Rovers,1,0,1,H,W,L,,,,,,,
ireland-2003,18,2003-08-22,19:30,200308221930,friday,Waterford United,Derry City,1,1,2,D,D,D,,,,,,,
ireland-2003,18,2003-08-22,19:45,200308221945,friday,Bohemian FC,St Patrick's Athletic,1,2,3,A,L,W,,,,,,,
ireland-2003,18,2003-08-22,19:45,200308221945,friday,Cork City,Drogheda United,4,0,4,H,W,L,,,,,,,
ireland-2003,18,2003-08-22,19:45,200308221945,friday,UC Dublin,Longford Town,0,3,3,A,L,W,,,,,,,
ireland-2003,19,2003-08-29,19:45,200308291945,friday,Bohemian FC,UC Dublin,2,1,3,H,W,L,,,,,,,
ireland-2003,19,2003-08-29,19:45,200308291945,friday,Cork City,St Patrick's Athletic,0,2,2,A,L,W,,,,,,,
ireland-2003,19,2003-08-29,19:45,200308291945,friday,Shamrock Rovers,Drogheda United,3,2,5,H,W,L,,,,,,,
ireland-2003,19,2003-08-31,17:00,200308311700,sunday,Derry City,Longford Town,1,1,2,D,D,D,,,,,,,
ireland-2003,19,2003-09-01,19:30,200309011930,monday,Waterford United,Shelbourne FC,1,2,3,A,L,W,,,,,,,
ireland-2003,13,2003-09-01,19:45,200309011945,monday,Shamrock Rovers,Bohemian FC,1,2,3,A,L,W,,,,,,,
ireland-2003,20,2003-09-04,20:00,200309042000,thursday,Drogheda United,Waterford United,3,0,3,H,W,L,,,,,,,
ireland-2003,20,2003-09-05,19:00,200309051900,friday,St Patrick's Athletic,Shamrock Rovers,1,0,1,H,W,L,,,,,,,
ireland-2003,20,2003-09-05,19:45,200309051945,friday,Shelbourne FC,Derry City,3,1,4,H,W,L,,,,,,,
ireland-2003,20,2003-09-05,20:00,200309052000,friday,Longford Town,Bohemian FC,2,4,6,A,L,W,,,,,,,
ireland-2003,20,2003-09-07,15:15,200309071515,sunday,UC Dublin,Cork City,1,1,2,D,D,D,,,,,,,
ireland-2003,21,2003-09-19,19:30,200309191930,friday,Waterford United,St Patrick's Athletic,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
ireland-2003,21,2003-09-19,19:45,200309191945,friday,Shelbourne FC,Longford Town,2,1,3,H,W,L,,,,,,,
ireland-2003,21,2003-09-19,19:45,200309191945,friday,Cork City,Bohemian FC,1,2,3,A,L,W,,,,,,,
ireland-2003,21,2003-09-19,19:45,200309191945,friday,Shamrock Rovers,UC Dublin,2,0,2,H,W,L,,,,,,,
ireland-2003,22,2003-09-22,19:00,200309221900,monday,Bohemian FC,Shamrock Rovers,2,1,3,H,W,L,,,,,,,
ireland-2003,22,2003-09-22,19:45,200309221945,monday,St Patrick's Athletic,Derry City,2,2,4,D,D,D,,,,,,,
ireland-2003,22,2003-09-22,19:45,200309221945,monday,UC Dublin,Waterford United,3,0,3,H,W,L,,,,,,,
ireland-2003,22,2003-09-23,19:45,200309231945,tuesday,Longford Town,Cork City,0,1,1,A,L,W,,,,,,,
ireland-2003,22,2003-09-23,20:00,200309232000,tuesday,Drogheda United,Shelbourne FC,0,1,1,A,L,W,,,,,,,
ireland-2003,23,2003-09-25,19:45,200309251945,thursday,Derry City,UC Dublin,0,2,2,A,L,W,,,,,,,
ireland-2003,23,2003-09-26,19:30,200309261930,friday,Waterford United,Bohemian FC,2,1,3,H,W,L,,,,,,,
