Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
mexico-2000-2001-verano,1,2001-01-06,,200101060000,saturday,CF Atlante,UANL Tigres,1,1,2,D,D,D,,,,,,,
mexico-2000-2001-verano,1,2001-01-06,,200101060000,saturday,Deportivo Toluca,CF Pachuca,3,5,8,A,L,W,,,,,,,
mexico-2000-2001-verano,1,2001-01-06,,200101060000,saturday,UAG Tecos,Pumas UNAM,2,1,3,H,W,L,,,,,,,
mexico-2000-2001-verano,1,2001-01-06,,200101060000,saturday,CF Monterrey,Cruz Azul,1,1,2,D,D,D,,,,,,,
mexico-2000-2001-verano,1,2001-01-06,,200101060000,saturday,Club Irapuato,Deportivo Guadalajara,0,0,0,D,D,D,0,0,0,D,D,D,
mexico-2000-2001-verano,1,2001-01-06,,200101060000,saturday,Atlas Guadalajara,Atletico Celaya,2,2,4,D,D,D,,,,,,,
mexico-2000-2001-verano,1,2001-01-07,,200101070000,sunday,Monarcas Morelia,CF América,2,0,2,H,W,L,,,,,,,
mexico-2000-2001-verano,1,2001-01-07,,200101070000,sunday,Club Necaxa,Club León,0,1,1,A,L,W,,,,,,,
mexico-2000-2001-verano,1,2001-01-07,,200101070000,sunday,Santos Laguna,Puebla FC,3,1,4,H,W,L,,,,,,,
mexico-2000-2001-verano,2,2001-01-13,,200101130000,saturday,Cruz Azul,Club Irapuato,4,2,6,H,W,L,,,,,,,
mexico-2000-2001-verano,2,2001-01-13,,200101130000,saturday,UANL Tigres,Monarcas Morelia,2,0,2,H,W,L,,,,,,,
mexico-2000-2001-verano,2,2001-01-13,,200101130000,saturday,Atletico Celaya,UAG Tecos,0,0,0,D,D,D,0,0,0,D,D,D,
mexico-2000-2001-verano,2,2001-01-13,,200101130000,saturday,Puebla FC,Deportivo Toluca,0,0,0,D,D,D,0,0,0,D,D,D,
mexico-2000-2001-verano,2,2001-01-14,,200101140000,sunday,Pumas UNAM,CF Atlante,1,1,2,D,D,D,,,,,,,
mexico-2000-2001-verano,2,2001-01-14,,200101140000,sunday,Deportivo Guadalajara,Atlas Guadalajara,2,3,5,A,L,W,,,,,,,
mexico-2000-2001-verano,2,2001-01-14,,200101140000,sunday,CF Pachuca,Club Necaxa,1,1,2,D,D,D,,,,,,,
mexico-2000-2001-verano,2,2001-01-14,,200101140000,sunday,CF América,Santos Laguna,5,1,6,H,W,L,,,,,,,
mexico-2000-2001-verano,2,2001-01-14,,200101140000,sunday,Club León,CF Monterrey,1,1,2,D,D,D,,,,,,,
mexico-2000-2001-verano,3,2001-01-20,,200101200000,saturday,CF Atlante,Atletico Celaya,2,1,3,H,W,L,,,,,,,
mexico-2000-2001-verano,3,2001-01-20,,200101200000,saturday,Club Irapuato,Club León,2,2,4,D,D,D,,,,,,,
mexico-2000-2001-verano,3,2001-01-20,,200101200000,saturday,Atlas Guadalajara,UAG Tecos,4,1,5,H,W,L,,,,,,,
mexico-2000-2001-verano,3,2001-01-20,,200101200000,saturday,Deportivo Guadalajara,Cruz Azul,2,1,3,H,W,L,,,,,,,
