Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
armenia-2003,1,2003-04-12,,200304120000,saturday,Shirak FC,Pyunik FC,0,2,2,A,L,W,,,,,,,
armenia-2003,1,2003-04-12,,200304120000,saturday,Mika FC,FC Banants,2,0,2,H,W,L,,,,,,,
armenia-2003,1,2003-04-13,,200304130000,sunday,FC Ararat,Araks Ararat,4,0,4,H,W,L,,,,,,,
armenia-2003,1,2003-04-13,,200304130000,sunday,Dinamo-2000 Yerevan,FC Kotayk,0,1,1,A,L,W,,,,,,,
armenia-2003,2,2003-04-18,,200304180000,friday,Shirak FC,Dinamo-2000 Yerevan,1,0,1,H,W,L,,,,,,,
armenia-2003,2,2003-04-19,,200304190000,saturday,FC Banants,Pyunik FC,0,0,0,D,D,D,0,0,0,D,D,D,
armenia-2003,2,2003-04-19,,200304190000,saturday,Araks Ararat,Mika FC,1,3,4,A,L,W,,,,,,,
armenia-2003,2,2003-04-20,,200304200000,sunday,FC Kotayk,FC Ararat,2,0,2,H,W,L,,,,,,,
armenia-2003,3,2003-04-26,,200304260000,saturday,FC Banants,Shirak FC,0,1,1,A,L,W,,,,,,,
armenia-2003,3,2003-04-26,,200304260000,saturday,FC Ararat,Dinamo-2000 Yerevan,3,1,4,H,W,L,,,,,,,
armenia-2003,3,2003-04-27,,200304270000,sunday,Mika FC,FC Kotayk,0,1,1,A,L,W,,,,,,,
armenia-2003,3,2003-04-27,,200304270000,sunday,Pyunik FC,Araks Ararat,11,0,11,H,W,L,,,,,,,
armenia-2003,4,2003-05-03,,200305030000,saturday,Araks Ararat,FC Banants,0,2,2,A,L,W,,,,,,,
armenia-2003,4,2003-05-03,,200305030000,saturday,FC Kotayk,Pyunik FC,1,1,2,D,D,D,,,,,,,
armenia-2003,4,2003-05-04,,200305040000,sunday,Dinamo-2000 Yerevan,Mika FC,3,2,5,H,W,L,,,,,,,
armenia-2003,4,2003-05-04,,200305040000,sunday,FC Ararat,Shirak FC,1,2,3,A,L,W,,,,,,,
armenia-2003,5,2003-05-11,,200305110000,sunday,FC Banants,FC Kotayk,3,0,3,H,W,L,,,,,,,
armenia-2003,5,2003-05-11,,200305110000,sunday,Mika FC,FC Ararat,3,0,3,H,W,L,,,,,,,
armenia-2003,5,2003-05-13,,200305130000,tuesday,Pyunik FC,Dinamo-2000 Yerevan,2,1,3,H,W,L,,,,,,,
armenia-2003,5,2003-05-13,,200305130000,tuesday,Shirak FC,Araks Ararat,4,0,4,H,W,L,,,,,,,
