Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
russia-1992-gruppe-a,1,1992-03-29,,199203290000,sunday,Spartak Vladikavkaz,CSKA Moskva,2,0,2,H,W,L,,,,,,,
russia-1992-gruppe-a,1,1992-03-29,,199203290000,sunday,Dinamo Stavropol,Dinamo Moskva,0,3,3,A,L,W,,,,,,,
russia-1992-gruppe-a,1,1992-03-29,,199203290000,sunday,FK Tekstilschik Kamyshin,Dinamo-Gazovik Tyumen,1,0,1,H,W,L,,,,,,,
russia-1992-gruppe-a,1,1992-03-29,,199203290000,sunday,Fakel Voronezh,Uralmash Ekaterinburg,0,1,1,A,L,W,,,,,,,
russia-1992-gruppe-b,1,1992-03-29,,199203290000,sunday,Kuban Krasnodar,Lokomotiv Moskva,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
russia-1992-gruppe-b,1,1992-03-29,,199203290000,sunday,Rostselmash Rostov,Shinnik Yaroslavl,2,0,2,H,W,L,,,,,,,
russia-1992-gruppe-b,1,1992-03-29,,199203290000,sunday,Spartak Moskva,Krylia Sovetov,5,0,5,H,W,L,,,,,,,
russia-1992-gruppe-a,2,1992-04-01,,199204010000,wednesday,Spartak Vladikavkaz,Dinamo Moskva,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
russia-1992-gruppe-a,2,1992-04-01,,199204010000,wednesday,Dinamo Stavropol,CSKA Moskva,1,2,3,A,L,W,,,,,,,
russia-1992-gruppe-a,2,1992-04-01,,199204010000,wednesday,FK Tekstilschik Kamyshin,Uralmash Ekaterinburg,3,0,3,H,W,L,,,,,,,
russia-1992-gruppe-a,2,1992-04-01,,199204010000,wednesday,Fakel Voronezh,Dinamo-Gazovik Tyumen,1,0,1,H,W,L,,,,,,,
russia-1992-gruppe-b,2,1992-04-01,,199204010000,wednesday,Kuban Krasnodar,Shinnik Yaroslavl,2,1,3,H,W,L,,,,,,,
russia-1992-gruppe-b,2,1992-04-01,,199204010000,wednesday,Rostselmash Rostov,Lokomotiv Moskva,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
