Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
kuwait-2012-2013,1,2012-09-14,16:30,201209141630,friday,Al Kuwait SC,Al Arabi SC,2,2,4,D,D,D,,,,,,,
kuwait-2012-2013,1,2012-09-14,18:20,201209141820,friday,Al Jahra SC,Al Nasr SC,2,1,3,H,W,L,,,,,,,
kuwait-2012-2013,1,2012-09-15,16:20,201209151620,saturday,Qadsia SC,Al Salmiya SC,3,1,4,H,W,L,,,,,,,
kuwait-2012-2013,1,2012-09-15,18:20,201209151820,saturday,Kazma SC,Al Salibikhaet SC,1,1,2,D,D,D,,,,,,,
kuwait-2012-2013,2,2012-09-21,16:15,201209211615,friday,Al Arabi SC,Al Jahra SC,1,1,2,D,D,D,,,,,,,
kuwait-2012-2013,2,2012-09-21,18:15,201209211815,friday,Al Kuwait SC,Al Salibikhaet SC,4,1,5,H,W,L,,,,,,,
kuwait-2012-2013,2,2012-09-22,16:15,201209221615,saturday,Al Salmiya SC,Kazma SC,1,1,2,D,D,D,,,,,,,
kuwait-2012-2013,2,2012-09-22,18:15,201209221815,saturday,Qadsia SC,Al Nasr SC,1,0,1,H,W,L,,,,,,,
kuwait-2012-2013,3,2012-09-28,16:00,201209281600,friday,Kazma SC,Al Nasr SC,2,0,2,H,W,L,,,,,,,
kuwait-2012-2013,3,2012-09-28,19:00,201209281900,friday,Al Salibikhaet SC,Al Salmiya SC,3,0,3,H,W,L,,,,,,,
kuwait-2012-2013,3,2012-09-29,16:00,201209291600,saturday,Al Arabi SC,Qadsia SC,0,0,0,D,D,D,0.0,0.0,0.0,D,D,D,
kuwait-2012-2013,3,2012-09-29,18:00,201209291800,saturday,Al Kuwait SC,Al Jahra SC,3,0,3,H,W,L,,,,,,,
kuwait-2012-2013,4,2012-10-05,18:00,201210051800,friday,Al Nasr SC,Al Salmiya SC,4,2,6,H,W,L,,,,,,,
kuwait-2012-2013,4,2012-10-06,16:00,201210061600,saturday,Kazma SC,Al Kuwait SC,2,4,6,A,L,W,,,,,,,
