Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
poland-1970-1971,1,1970-08-08,,197008080000,saturday,Stal Rzeszow,Zagłębie Wałbrzych,1,1,2,D,D,D,,,,,,,
poland-1970-1971,1,1970-08-08,,197008080000,saturday,Legia Warszawa,Polonia Bytom,0,0,0,D,D,D,0,0,0,D,D,D,
poland-1970-1971,1,1970-08-08,,197008080000,saturday,KS ROW 1964 Rybnik,Zagłębie Sosnowiec,0,0,0,D,D,D,0,0,0,D,D,D,
poland-1970-1971,1,1970-08-08,,197008080000,saturday,Stal Mielec,Wisła Kraków,5,2,7,H,W,L,,,,,,,
poland-1970-1971,1,1970-08-08,,197008080000,saturday,GKS Katowice,Górnik Zabrze,1,1,2,D,D,D,,,,,,,
poland-1970-1971,1,1970-08-08,,197008080000,saturday,Szombierki Bytom,Gwardia Warszawa,1,1,2,D,D,D,,,,,,,
poland-1970-1971,1,1970-08-08,,197008080000,saturday,Ruch Chorzów,Pogoń Szczecin,6,0,6,H,W,L,,,,,,,
poland-1970-1971,2,1970-08-12,,197008120000,wednesday,Zagłębie Wałbrzych,Pogoń Szczecin,1,0,1,H,W,L,,,,,,,
poland-1970-1971,2,1970-08-12,,197008120000,wednesday,Gwardia Warszawa,Ruch Chorzów,0,3,3,A,L,W,,,,,,,
poland-1970-1971,2,1970-08-12,,197008120000,wednesday,Górnik Zabrze,Szombierki Bytom,4,3,7,H,W,L,,,,,,,
poland-1970-1971,2,1970-08-12,,197008120000,wednesday,Wisła Kraków,GKS Katowice,1,0,1,H,W,L,,,,,,,
poland-1970-1971,2,1970-08-12,,197008120000,wednesday,Zagłębie Sosnowiec,Stal Mielec,1,2,3,A,L,W,,,,,,,
poland-1970-1971,2,1970-08-12,,197008120000,wednesday,Polonia Bytom,KS ROW 1964 Rybnik,1,1,2,D,D,D,,,,,,,
poland-1970-1971,2,1970-08-12,,197008120000,wednesday,Stal Rzeszow,Legia Warszawa,1,3,4,A,L,W,,,,,,,
poland-1970-1971,3,1970-08-15,,197008150000,saturday,Legia Warszawa,Zagłębie Wałbrzych,3,0,3,H,W,L,,,,,,,
poland-1970-1971,3,1970-08-15,,197008150000,saturday,KS ROW 1964 Rybnik,Stal Rzeszow,1,0,1,H,W,L,,,,,,,
poland-1970-1971,3,1970-08-15,,197008150000,saturday,Stal Mielec,Polonia Bytom,1,0,1,H,W,L,,,,,,,
poland-1970-1971,3,1970-08-15,,197008150000,saturday,GKS Katowice,Zagłębie Sosnowiec,1,1,2,D,D,D,,,,,,,
poland-1970-1971,3,1970-08-15,,197008150000,saturday,Szombierki Bytom,Wisła Kraków,2,2,4,D,D,D,,,,,,,
poland-1970-1971,3,1970-08-15,,197008150000,saturday,Ruch Chorzów,Górnik Zabrze,3,2,5,H,W,L,,,,,,,
poland-1970-1971,3,1970-08-15,,197008150000,saturday,Pogoń Szczecin,Gwardia Warszawa,1,0,1,H,W,L,,,,,,,
poland-1970-1971,4,1970-08-22,,197008220000,saturday,Zagłębie Wałbrzych,Gwardia Warszawa,3,1,4,H,W,L,,,,,,,
poland-1970-1971,4,1970-08-22,,197008220000,saturday,Górnik Zabrze,Pogoń Szczecin,0,0,0,D,D,D,0,0,0,D,D,D,
poland-1970-1971,4,1970-08-22,,197008220000,saturday,Wisła Kraków,Ruch Chorzów,2,2,4,D,D,D,,,,,,,
poland-1970-1971,4,1970-08-22,,197008220000,saturday,Zagłębie Sosnowiec,Szombierki Bytom,0,1,1,A,L,W,,,,,,,
poland-1970-1971,4,1970-08-22,,197008220000,saturday,Polonia Bytom,GKS Katowice,0,2,2,A,L,W,,,,,,,
poland-1970-1971,4,1970-08-22,,197008220000,saturday,Stal Rzeszow,Stal Mielec,3,0,3,H,W,L,,,,,,,
poland-1970-1971,4,1970-08-22,,197008220000,saturday,Legia Warszawa,KS ROW 1964 Rybnik,3,0,3,H,W,L,,,,,,,
poland-1970-1971,5,1970-08-26,,197008260000,wednesday,KS ROW 1964 Rybnik,Zagłębie Wałbrzych,2,0,2,H,W,L,,,,,,,
poland-1970-1971,5,1970-08-26,,197008260000,wednesday,Stal Mielec,Legia Warszawa,0,0,0,D,D,D,0,0,0,D,D,D,
poland-1970-1971,5,1970-08-26,,197008260000,wednesday,GKS Katowice,Stal Rzeszow,0,0,0,D,D,D,0,0,0,D,D,D,
poland-1970-1971,5,1970-08-26,,197008260000,wednesday,Szombierki Bytom,Polonia Bytom,0,2,2,A,L,W,,,,,,,
poland-1970-1971,5,1970-08-26,,197008260000,wednesday,Ruch Chorzów,Zagłębie Sosnowiec,4,1,5,H,W,L,,,,,,,
poland-1970-1971,5,1970-08-26,,197008260000,wednesday,Pogoń Szczecin,Wisła Kraków,1,0,1,H,W,L,,,,,,,
poland-1970-1971,5,1970-08-26,,197008260000,wednesday,Gwardia Warszawa,Górnik Zabrze,0,1,1,A,L,W,,,,,,,
poland-1970-1971,6,1970-09-12,,197009120000,saturday,Zagłębie Wałbrzych,Górnik Zabrze,1,1,2,D,D,D,,,,,,,
poland-1970-1971,6,1970-09-12,,197009120000,saturday,Wisła Kraków,Gwardia Warszawa,1,0,1,H,W,L,,,,,,,
poland-1970-1971,6,1970-09-12,,197009120000,saturday,Zagłębie Sosnowiec,Pogoń Szczecin,1,1,2,D,D,D,,,,,,,
poland-1970-1971,6,1970-09-12,,197009120000,saturday,Polonia Bytom,Ruch Chorzów,0,3,3,A,L,W,,,,,,,
poland-1970-1971,6,1970-09-12,,197009120000,saturday,Stal Rzeszow,Szombierki Bytom,3,2,5,H,W,L,,,,,,,
poland-1970-1971,6,1970-09-12,,197009120000,saturday,Legia Warszawa,GKS Katowice,3,2,5,H,W,L,,,,,,,
poland-1970-1971,6,1970-09-12,,197009120000,saturday,KS ROW 1964 Rybnik,Stal Mielec,2,1,3,H,W,L,,,,,,,
poland-1970-1971,7,1970-09-19,,197009190000,saturday,Stal Mielec,Zagłębie Wałbrzych,1,4,5,A,L,W,,,,,,,
poland-1970-1971,7,1970-09-19,,197009190000,saturday,GKS Katowice,KS ROW 1964 Rybnik,0,1,1,A,L,W,,,,,,,
poland-1970-1971,7,1970-09-19,,197009190000,saturday,Szombierki Bytom,Legia Warszawa,1,2,3,A,L,W,,,,,,,
poland-1970-1971,7,1970-09-19,,197009190000,saturday,Ruch Chorzów,Stal Rzeszow,2,2,4,D,D,D,,,,,,,
poland-1970-1971,7,1970-09-19,,197009190000,saturday,Pogoń Szczecin,Polonia Bytom,0,2,2,A,L,W,,,,,,,
poland-1970-1971,7,1970-09-19,,197009190000,saturday,Gwardia Warszawa,Zagłębie Sosnowiec,4,2,6,H,W,L,,,,,,,
poland-1970-1971,7,1970-09-19,,197009190000,saturday,Górnik Zabrze,Wisła Kraków,2,2,4,D,D,D,,,,,,,
