Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
morocco-2006-2007,1,2006-09-16,,saturday,Ittihad Khémisset,FAR de Rabat,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,1,2006-09-16,,saturday,Hassania US Agadir,Wydad AC,1,2,3,A,L,W,,,,,,,
morocco-2006-2007,1,2006-09-17,,sunday,Moghreb de Tétouan,Maghrib de Fès,4,3,7,H,W,L,,,,,,,
morocco-2006-2007,1,2006-09-17,,sunday,Difaâ d'el Jadida,Olympique de Safi,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,1,2006-09-17,,sunday,AS Salé,Olympique de Khouribga,1,3,4,A,L,W,,,,,,,
morocco-2006-2007,1,2006-09-17,,sunday,Mouloudia Oujda,Ittihad Tanger,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,1,2006-09-17,,sunday,Raja Casablanca,JS El Massira,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,2,2006-09-23,,saturday,Kawkab AC Marrakech,Hassania US Agadir,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,2,2006-09-23,,saturday,Wydad AC,AS Salé,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,2,2006-09-23,,saturday,Olympique de Safi,Ittihad Khémisset,0,2,2,A,L,W,,,,,,,
morocco-2006-2007,2,2006-09-24,,sunday,JS El Massira,Moghreb de Tétouan,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,2,2006-09-24,,sunday,Ittihad Tanger,COD Meknés,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,2,2006-09-24,,sunday,Maghrib de Fès,Mouloudia Oujda,1,2,3,A,L,W,,,,,,,
morocco-2006-2007,1,2006-09-30,,saturday,COD Meknés,Kawkab AC Marrakech,0,1,1,A,L,W,,,,,,,
morocco-2006-2007,2,2006-09-30,,saturday,Olympique de Khouribga,Difaâ d'el Jadida,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,2,2006-10-01,,sunday,FAR de Rabat,Raja Casablanca,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,3,2006-10-07,,saturday,Maghrib de Fès,JS El Massira,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,3,2006-10-07,,saturday,Raja Casablanca,Olympique de Safi,2,1,3,H,W,L,,,,,,,
morocco-2006-2007,3,2006-10-07,,saturday,Hassania US Agadir,Ittihad Tanger,2,1,3,H,W,L,,,,,,,
morocco-2006-2007,3,2006-10-08,,sunday,Difaâ d'el Jadida,Wydad AC,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,3,2006-10-08,,sunday,AS Salé,Kawkab AC Marrakech,0,1,1,A,L,W,,,,,,,
morocco-2006-2007,3,2006-10-08,,sunday,Moghreb de Tétouan,FAR de Rabat,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,3,2006-10-08,,sunday,Mouloudia Oujda,COD Meknés,0,1,1,A,L,W,,,,,,,
morocco-2006-2007,4,2006-10-14,,saturday,Wydad AC,Ittihad Khémisset,3,1,4,H,W,L,,,,,,,
morocco-2006-2007,4,2006-10-14,,saturday,Kawkab AC Marrakech,Difaâ d'el Jadida,0,1,1,A,L,W,,,,,,,
morocco-2006-2007,4,2006-10-14,,saturday,Ittihad Tanger,AS Salé,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,4,2006-10-15,,sunday,JS El Massira,Mouloudia Oujda,4,1,5,H,W,L,,,,,,,
morocco-2006-2007,4,2006-10-15,,sunday,Olympique de Safi,Moghreb de Tétouan,1,2,3,A,L,W,,,,,,,
morocco-2006-2007,4,2006-10-15,,sunday,COD Meknés,Hassania US Agadir,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,3,2006-10-18,,wednesday,Ittihad Khémisset,Olympique de Khouribga,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,4,2006-10-18,,wednesday,FAR de Rabat,Maghrib de Fès,4,1,5,H,W,L,,,,,,,
morocco-2006-2007,5,2006-10-29,,sunday,Maghrib de Fès,Olympique de Safi,0,1,1,A,L,W,,,,,,,
morocco-2006-2007,5,2006-10-29,,sunday,Ittihad Khémisset,Kawkab AC Marrakech,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,5,2006-10-29,,sunday,Difaâ d'el Jadida,Ittihad Tanger,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,5,2006-10-29,,sunday,AS Salé,COD Meknés,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,5,2006-10-29,,sunday,Mouloudia Oujda,Hassania US Agadir,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,5,2006-11-01,,wednesday,JS El Massira,FAR de Rabat,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,6,2006-11-04,,saturday,Kawkab AC Marrakech,Raja Casablanca,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,6,2006-11-04,,saturday,Ittihad Tanger,Ittihad Khémisset,2,3,5,A,L,W,,,,,,,
morocco-2006-2007,6,2006-11-04,,saturday,COD Meknés,Difaâ d'el Jadida,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,6,2006-11-04,,saturday,FAR de Rabat,Mouloudia Oujda,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,6,2006-11-04,,saturday,Wydad AC,Moghreb de Tétouan,3,0,3,H,W,L,,,,,,,
morocco-2006-2007,6,2006-11-05,,sunday,Olympique de Safi,JS El Massira,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,4,2006-11-08,,wednesday,Olympique de Khouribga,Raja Casablanca,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,7,2006-11-11,,saturday,FAR de Rabat,Olympique de Safi,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,5,2006-11-12,,sunday,Raja Casablanca,Wydad AC,0,1,1,A,L,W,,,,,,,
morocco-2006-2007,7,2006-11-12,,sunday,JS El Massira,Olympique de Khouribga,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,7,2006-11-12,,sunday,Moghreb de Tétouan,Kawkab AC Marrakech,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,7,2006-11-12,,sunday,Ittihad Khémisset,COD Meknés,2,0,2,H,W,L,,,,,,,
morocco-2006-2007,7,2006-11-12,,sunday,Difaâ d'el Jadida,Hassania US Agadir,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,7,2006-11-12,,sunday,Mouloudia Oujda,AS Salé,2,2,4,D,D,D,,,,,,,
morocco-2006-2007,7,2006-11-15,,wednesday,Maghrib de Fès,Wydad AC,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,8,2006-11-18,,saturday,AS Salé,Difaâ d'el Jadida,1,1,2,D,D,D,,,,,,,
morocco-2006-2007,8,2006-11-18,,saturday,Hassania US Agadir,Ittihad Khémisset,3,1,4,H,W,L,,,,,,,
morocco-2006-2007,8,2006-11-18,,saturday,Ittihad Tanger,Moghreb de Tétouan,0,0,0,D,D,D,0,0,0,D,D,D,
morocco-2006-2007,8,2006-11-19,,sunday,Olympique de Safi,Mouloudia Oujda,2,2,4,D,D,D,,,,,,,
morocco-2006-2007,8,2006-11-19,,sunday,Kawkab AC Marrakech,Maghrib de Fès,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,8,2006-11-19,,sunday,Wydad AC,JS El Massira,2,1,3,H,W,L,,,,,,,
morocco-2006-2007,5,2006-11-22,,wednesday,Moghreb de Tétouan,Olympique de Khouribga,1,2,3,A,L,W,,,,,,,
morocco-2006-2007,6,2006-11-22,,wednesday,Hassania US Agadir,AS Salé,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,7,2006-11-22,,wednesday,Raja Casablanca,Ittihad Tanger,1,0,1,H,W,L,,,,,,,
morocco-2006-2007,9,2006-11-26,,sunday,Olympique de Safi,Olympique de Khouribga,1,1,2,D,D,D,,,,,,,
