Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
south africa-2004-2005,1,2004-08-06,19:00,friday,Orlando Pirates,Jomo Cosmos,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,1,2004-08-07,14:15,saturday,AmaZulu FC,Kaizer Chiefs,1,4,5,A,L,W,,,,,,,
south africa-2004-2005,1,2004-08-08,14:15,sunday,Bloemfontein Celtic,Black Leopards,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,1,2004-08-08,14:15,sunday,Moroka Swallows,Ajax Cape Town,3,0,3,H,W,L,,,,,,,
south africa-2004-2005,1,2004-08-08,14:15,sunday,Silver Stars,Bush Bucks FC,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,1,2004-08-11,18:30,wednesday,Manning Rangers,Golden Arrows,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,1,2004-08-11,19:00,wednesday,SuperSport United,BidVest Wits,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,1,2004-08-25,14:15,wednesday,Golden Arrows,SuperSport United,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,1,2004-08-25,19:00,wednesday,Santos FC,Mamelodi Sundowns,0,2,2,A,L,W,,,,,,,
south africa-2004-2005,1,2004-08-27,19:00,friday,Ajax Cape Town,Bloemfontein Celtic,3,0,3,H,W,L,,,,,,,
south africa-2004-2005,1,2004-08-28,14:15,saturday,Black Leopards,AmaZulu FC,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,1,2004-08-28,14:15,saturday,Kaizer Chiefs,Manning Rangers,3,0,3,H,W,L,,,,,,,
south africa-2004-2005,1,2004-08-28,18:00,saturday,Bush Bucks FC,SuperSport United,0,1,1,A,L,W,,,,,,,
south africa-2004-2005,1,2004-08-29,14:15,sunday,Jomo Cosmos,Silver Stars,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,1,2004-08-29,14:15,sunday,Mamelodi Sundowns,Moroka Swallows,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,1,2004-08-29,14:45,sunday,Golden Arrows,Orlando Pirates,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,2,2004-09-01,18:30,wednesday,SuperSport United,Bloemfontein Celtic,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,2,2004-09-04,14:15,saturday,Black Leopards,Bush Bucks FC,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-07,19:00,tuesday,Silver Stars,AmaZulu FC,0,2,2,A,L,W,,,,,,,
south africa-2004-2005,2,2004-09-08,18:00,wednesday,Mamelodi Sundowns,Golden Arrows,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,2,2004-09-08,19:00,wednesday,Manning Rangers,Orlando Pirates,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,2,2004-09-08,19:00,wednesday,Santos FC,Moroka Swallows,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-11,14:15,saturday,Black Leopards,Orlando Pirates,2,3,5,A,L,W,,,,,,,
south africa-2004-2005,2,2004-09-11,18:00,saturday,Kaizer Chiefs,Silver Stars,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-11,18:00,saturday,Bush Bucks FC,BidVest Wits,2,0,2,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-12,14:00,sunday,Bloemfontein Celtic,Mamelodi Sundowns,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,2,2004-09-12,14:15,sunday,Moroka Swallows,AmaZulu FC,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-12,14:30,sunday,Ajax Cape Town,Manning Rangers,3,1,4,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-15,14:15,wednesday,AmaZulu FC,Bloemfontein Celtic,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,2,2004-09-15,19:00,wednesday,Santos FC,Golden Arrows,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-22,18:00,wednesday,Bush Bucks FC,Mamelodi Sundowns,0,3,3,A,L,W,,,,,,,
south africa-2004-2005,2,2004-09-22,18:30,wednesday,Manning Rangers,Moroka Swallows,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,2,2004-09-22,19:00,wednesday,Orlando Pirates,Ajax Cape Town,6,0,6,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-22,19:00,wednesday,Silver Stars,Black Leopards,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,2,2004-09-22,19:00,wednesday,BidVest Wits,Jomo Cosmos,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,2,2004-09-25,14:15,saturday,Ajax Cape Town,Silver Stars,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-25,14:15,saturday,Jomo Cosmos,Bush Bucks FC,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,2,2004-09-26,14:15,sunday,Bloemfontein Celtic,Manning Rangers,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,2,2004-09-26,14:15,sunday,Golden Arrows,BidVest Wits,0,1,1,A,L,W,,,,,,,
south africa-2004-2005,2,2004-09-26,14:15,sunday,Moroka Swallows,Orlando Pirates,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,2,2004-09-26,14:15,sunday,Mamelodi Sundowns,AmaZulu FC,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,3,2004-10-03,14:45,sunday,Bush Bucks FC,Golden Arrows,0,1,1,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-03,14:45,sunday,Jomo Cosmos,Mamelodi Sundowns,0,2,2,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-03,14:45,sunday,Santos FC,Black Leopards,1,3,4,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-03,14:45,sunday,Silver Stars,Moroka Swallows,0,1,1,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-06,18:30,wednesday,Manning Rangers,AmaZulu FC,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,3,2004-10-13,14:45,wednesday,Golden Arrows,Jomo Cosmos,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,3,2004-10-13,18:30,wednesday,Ajax Cape Town,Santos FC,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,3,2004-10-13,19:00,wednesday,Orlando Pirates,Bloemfontein Celtic,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,3,2004-10-16,14:45,saturday,Black Leopards,BidVest Wits,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-16,14:45,saturday,Kaizer Chiefs,Bush Bucks FC,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,3,2004-10-17,14:45,sunday,Bloemfontein Celtic,Silver Stars,0,2,2,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-17,14:45,sunday,AmaZulu FC,Orlando Pirates,0,3,3,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-17,14:45,sunday,Mamelodi Sundowns,Manning Rangers,5,1,6,H,W,L,,,,,,,
south africa-2004-2005,3,2004-10-20,19:00,wednesday,Black Leopards,SuperSport United,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,3,2004-10-27,18:30,wednesday,Santos FC,Bush Bucks FC,3,0,3,H,W,L,,,,,,,
south africa-2004-2005,3,2004-10-29,19:00,friday,Manning Rangers,Black Leopards,0,1,1,A,L,W,,,,,,,
south africa-2004-2005,3,2004-10-29,19:00,friday,BidVest Wits,Mamelodi Sundowns,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,3,2004-10-30,14:45,saturday,Orlando Pirates,Kaizer Chiefs,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,3,2004-10-30,14:45,saturday,Silver Stars,Golden Arrows,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,3,2004-10-31,14:45,sunday,Bloemfontein Celtic,Moroka Swallows,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,4,2004-11-03,19:00,wednesday,SuperSport United,Moroka Swallows,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,4,2004-11-06,18:30,saturday,BidVest Wits,Kaizer Chiefs,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,4,2004-11-10,18:30,wednesday,Ajax Cape Town,Bush Bucks FC,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,4,2004-11-10,19:00,wednesday,SuperSport United,Jomo Cosmos,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,4,2004-11-10,19:00,wednesday,Manning Rangers,Silver Stars,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,4,2004-11-13,14:45,saturday,Black Leopards,Jomo Cosmos,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,4,2004-11-13,14:45,saturday,Kaizer Chiefs,Golden Arrows,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,4,2004-11-13,14:45,saturday,Moroka Swallows,BidVest Wits,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,4,2004-11-14,14:45,sunday,Mamelodi Sundowns,Orlando Pirates,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,4,2004-11-14,14:45,sunday,AmaZulu FC,SuperSport United,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,4,2004-11-24,18:30,wednesday,Santos FC,AmaZulu FC,1,3,4,A,L,W,,,,,,,
south africa-2004-2005,4,2004-11-24,19:00,wednesday,BidVest Wits,Ajax Cape Town,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,4,2004-11-27,14:00,saturday,SuperSport United,Manning Rangers,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,4,2004-11-27,15:00,saturday,Kaizer Chiefs,Mamelodi Sundowns,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,4,2004-11-27,18:00,saturday,Bush Bucks FC,Moroka Swallows,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,4,2004-11-27,18:30,saturday,Golden Arrows,Black Leopards,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,4,2004-11-27,19:00,saturday,BidVest Wits,Bloemfontein Celtic,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,4,2004-11-28,14:45,sunday,Jomo Cosmos,Ajax Cape Town,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,4,2004-11-28,14:45,sunday,Silver Stars,Orlando Pirates,0,2,2,A,L,W,,,,,,,
south africa-2004-2005,5,2004-12-01,14:15,wednesday,Jomo Cosmos,Santos FC,4,1,5,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-04,15:00,saturday,AmaZulu FC,Ajax Cape Town,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,5,2004-12-08,18:30,wednesday,Manning Rangers,Santos FC,1,4,5,A,L,W,,,,,,,
south africa-2004-2005,5,2004-12-10,19:00,friday,Ajax Cape Town,Golden Arrows,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-11,14:45,saturday,Black Leopards,Kaizer Chiefs,0,3,3,A,L,W,,,,,,,
south africa-2004-2005,5,2004-12-11,17:00,saturday,Orlando Pirates,SuperSport United,2,0,2,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-12,14:45,sunday,Bloemfontein Celtic,Bush Bucks FC,0,1,1,A,L,W,,,,,,,
south africa-2004-2005,5,2004-12-12,14:45,sunday,AmaZulu FC,BidVest Wits,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,5,2004-12-12,14:45,sunday,Moroka Swallows,Jomo Cosmos,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-12,14:45,sunday,Mamelodi Sundowns,Silver Stars,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-15,18:00,wednesday,Bush Bucks FC,AmaZulu FC,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,5,2004-12-15,18:30,wednesday,BidVest Wits,Manning Rangers,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,5,2004-12-16,14:45,thursday,Bloemfontein Celtic,Santos FC,3,1,4,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-18,14:45,saturday,Black Leopards,Mamelodi Sundowns,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-19,14:45,sunday,Jomo Cosmos,Bloemfontein Celtic,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,5,2004-12-19,14:45,sunday,Golden Arrows,Moroka Swallows,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,5,2004-12-19,14:45,sunday,Santos FC,Orlando Pirates,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,6,2005-01-05,17:30,wednesday,Kaizer Chiefs,Santos FC,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-07,18:00,friday,Ajax Cape Town,Black Leopards,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-07,18:00,friday,Manning Rangers,Bush Bucks FC,3,2,5,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-08,13:45,saturday,AmaZulu FC,Jomo Cosmos,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-08,13:45,saturday,Orlando Pirates,BidVest Wits,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-08,13:45,saturday,Silver Stars,Santos FC,2,0,2,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-09,13:45,sunday,Bloemfontein Celtic,Golden Arrows,2,0,2,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-09,13:45,sunday,Moroka Swallows,Kaizer Chiefs,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-09,13:45,sunday,Mamelodi Sundowns,SuperSport United,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-13,18:00,thursday,Santos FC,SuperSport United,2,0,2,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-14,18:00,friday,BidVest Wits,Silver Stars,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,6,2005-01-15,13:45,saturday,Black Leopards,Moroka Swallows,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-15,13:45,saturday,Bush Bucks FC,Orlando Pirates,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-15,13:45,saturday,Golden Arrows,AmaZulu FC,0,1,1,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-15,17:00,saturday,Mamelodi Sundowns,Ajax Cape Town,4,0,4,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-15,17:30,saturday,Kaizer Chiefs,Bloemfontein Celtic,4,1,5,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-16,13:45,sunday,Jomo Cosmos,Manning Rangers,1,0,1,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-18,18:00,tuesday,Black Leopards,Bloemfontein Celtic,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-18,18:00,tuesday,BidVest Wits,SuperSport United,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-19,13:45,wednesday,Golden Arrows,Manning Rangers,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-19,17:00,wednesday,Bush Bucks FC,Silver Stars,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-19,18:00,wednesday,Jomo Cosmos,Orlando Pirates,0,3,3,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-19,18:00,wednesday,Kaizer Chiefs,AmaZulu FC,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-19,18:00,wednesday,Mamelodi Sundowns,Santos FC,2,1,3,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-22,13:45,saturday,Moroka Swallows,Mamelodi Sundowns,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,6,2005-01-22,13:45,saturday,SuperSport United,Bush Bucks FC,3,1,4,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-22,13:45,saturday,Silver Stars,Jomo Cosmos,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-22,17:00,saturday,Orlando Pirates,Golden Arrows,3,2,5,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-22,18:00,saturday,Santos FC,BidVest Wits,0,2,2,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-23,13:45,sunday,AmaZulu FC,Black Leopards,4,3,7,H,W,L,,,,,,,
south africa-2004-2005,6,2005-01-23,13:45,sunday,Bloemfontein Celtic,Ajax Cape Town,1,1,2,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-23,13:45,sunday,Manning Rangers,Kaizer Chiefs,2,2,4,D,D,D,,,,,,,
south africa-2004-2005,6,2005-01-26,13:15,wednesday,Jomo Cosmos,Kaizer Chiefs,0,3,3,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-26,17:30,wednesday,BidVest Wits,AmaZulu FC,0,2,2,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-26,18:00,wednesday,SuperSport United,Silver Stars,0,0,0,D,D,D,0,0,0,D,D,D,
south africa-2004-2005,6,2005-01-26,18:00,wednesday,Ajax Cape Town,Moroka Swallows,1,2,3,A,L,W,,,,,,,
south africa-2004-2005,6,2005-01-28,18:00,friday,Santos FC,Manning Rangers,0,0,0,D,D,D,0,0,0,D,D,D,
