Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
south korea-2013,22,2013-08-11,10:00,sunday,Daejeon Citizen,Pohang Steelers,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-daejon-citizen-pohang-steelers/
south korea-2013,22,2013-08-11,11:00,sunday,Gyeongnam FC,Suwon Bluewings,0,3,3,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/k-league-2013-gyeongnam-fc-suwon-blue-wings/
south korea-2013,22,2013-08-11,11:00,sunday,Chunnam Dragons,Daegu FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-chunnam-dragons-daegu-fc/
south korea-2013,22,2013-08-11,11:00,sunday,Seongnam Ilhwa Chunma,Busan IPark,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-seongnam-ilhwa-chunma-busan-ipark/
south korea-2013,23,2013-08-15,11:00,thursday,FC Seoul,Daejeon Citizen,3,2,5,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-fc-seoul-daejon-citizen/
south korea-2013,23,2013-08-17,11:00,saturday,Suwon Bluewings,Seongnam Ilhwa Chunma,2,2,4,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-suwon-blue-wings-seongnam-ilhwa-chunma/
south korea-2013,23,2013-08-17,11:00,saturday,Jeonbuk FC,Chunnam Dragons,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-jeonbuk-fc-chunnam-dragons/
south korea-2013,23,2013-08-18,11:00,sunday,Pohang Steelers,Gyeongnam FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-pohang-steelers-gyeongnam-fc/
south korea-2013,23,2013-08-18,11:00,sunday,Busan IPark,Ulsan Hyundai,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-busan-ipark-ulsan-hyundai-horang-i/
south korea-2013,23,2013-08-18,11:00,sunday,Gangwon FC,Incheon United,1,2,3,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-gangwon-fc-incheon-united/
south korea-2013,23,2013-08-18,11:00,sunday,Jeju United,Daegu FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-jeju-united-fc-daegu-fc/
south korea-2013,24,2013-08-24,11:00,saturday,Daejeon Citizen,Gangwon FC,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-daejon-citizen-gangwon-fc/
south korea-2013,24,2013-08-24,11:00,saturday,Jeju United,Jeonbuk FC,0,3,3,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/k-league-2013-jeju-united-fc-jeonbuk-fc/
south korea-2013,24,2013-08-24,11:00,saturday,Seongnam Ilhwa Chunma,Ulsan Hyundai,3,1,4,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-seongnam-ilhwa-chunma-ulsan-hyundai-horang-i/
south korea-2013,24,2013-08-24,11:30,saturday,Incheon United,Busan IPark,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-incheon-united-busan-ipark/
south korea-2013,24,2013-08-25,11:00,sunday,Daegu FC,Suwon Bluewings,0,2,2,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-daegu-fc-suwon-blue-wings/
south korea-2013,24,2013-08-25,11:00,sunday,Chunnam Dragons,Pohang Steelers,2,3,5,A,L,W,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-chunnam-dragons-pohang-steelers/
south korea-2013,24,2013-08-25,11:00,sunday,Gyeongnam FC,FC Seoul,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-gyeongnam-fc-fc-seoul/
south korea-2013,25,2013-08-28,11:30,wednesday,Busan IPark,Jeju United,1,2,3,A,L,W,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-busan-ipark-jeju-united-fc/
south korea-2013,25,2013-08-28,11:30,wednesday,Chunnam Dragons,Gyeongnam FC,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-chunnam-dragons-gyeongnam-fc/
south korea-2013,25,2013-08-28,11:30,wednesday,Daejeon Citizen,Daegu FC,1,3,4,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-daejon-citizen-daegu-fc/
south korea-2013,25,2013-08-28,11:30,wednesday,FC Seoul,Jeonbuk FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-fc-seoul-jeonbuk-fc/
south korea-2013,25,2013-08-28,11:30,wednesday,Incheon United,Suwon Bluewings,3,1,4,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-incheon-united-suwon-blue-wings/
south korea-2013,25,2013-08-28,11:30,wednesday,Seongnam Ilhwa Chunma,Gangwon FC,2,0,2,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-seongnam-ilhwa-chunma-gangwon-fc/
south korea-2013,25,2013-08-28,11:30,wednesday,Ulsan Hyundai,Pohang Steelers,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-ulsan-hyundai-horang-i-pohang-steelers/
south korea-2013,26,2013-09-01,11:00,sunday,Daegu FC,FC Seoul,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-daegu-fc-fc-seoul/
south korea-2013,26,2013-09-01,11:00,sunday,Gangwon FC,Ulsan Hyundai,1,2,3,A,L,W,1,2,3,A,L,W,http://www.worldfootball.net/report/k-league-2013-gangwon-fc-ulsan-hyundai-horang-i/
south korea-2013,26,2013-09-01,11:00,sunday,Gyeongnam FC,Seongnam Ilhwa Chunma,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-gyeongnam-fc-seongnam-ilhwa-chunma/
south korea-2013,26,2013-09-01,11:00,sunday,Jeju United,Daejeon Citizen,2,1,3,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-jeju-united-fc-daejon-citizen/
south korea-2013,26,2013-09-01,11:00,sunday,Jeonbuk FC,Incheon United,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/k-league-2013-jeonbuk-fc-incheon-united/
south korea-2013,26,2013-09-01,11:00,sunday,Pohang Steelers,Busan IPark,1,2,3,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-pohang-steelers-busan-ipark/
south korea-2013,26,2013-09-01,11:00,sunday,Suwon Bluewings,Chunnam Dragons,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-suwon-blue-wings-chunnam-dragons/
south korea-2013-abstieg,1,2013-09-07,09:00,saturday,Daegu FC,Jeju United,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-abstieg-daegu-fc-jeju-united-fc/
south korea-2013-abstieg,1,2013-09-07,11:00,saturday,Chunnam Dragons,Gyeongnam FC,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-chunnam-dragons-gyeongnam-fc/
south korea-2013-abstieg,1,2013-09-07,11:00,saturday,Seongnam Ilhwa Chunma,Daejeon Citizen,3,1,4,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/k-league-2013-abstieg-seongnam-ilhwa-chunma-daejon-citizen/
south korea-2013-meisterschaft,1,2013-09-08,09:00,sunday,Ulsan Hyundai,Incheon United,2,1,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/k-league-2013-meisterschaft-ulsan-hyundai-horang-i-incheon-united/
south korea-2013-meisterschaft,1,2013-09-08,09:00,sunday,Jeonbuk FC,Pohang Steelers,0,3,3,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/k-league-2013-meisterschaft-jeonbuk-fc-pohang-steelers/
