Div,Round,Date,Time,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
china-1994,1,1994-04-17,,sunday,August 1st (Army Team),Jiangsu Maint,1,1,2,D,D,D,,,,,,,
china-1994,1,1994-04-17,,sunday,Guangdong Hongyuan,Beijing Guoan,0,2,2,A,L,W,,,,,,,
china-1994,1,1994-04-17,,sunday,Changchun Yatai,Dalian Wanda,1,3,4,A,L,W,,,,,,,
china-1994,1,1994-04-17,,sunday,Shandong Taishan FC,Guangzhou Taiyangshen,1,0,1,H,W,L,,,,,,,
china-1994,1,1994-04-17,,sunday,Shenyang Huayang,Shanghai Shenhua,2,3,5,A,L,W,,,,,,,
china-1994,1,1994-04-17,,sunday,Sichuan Quanxing,Liaoning Far East,1,1,2,D,D,D,,,,,,,
china-1994,2,1994-04-24,,sunday,Guangdong Hongyuan,August 1st (Army Team),0,1,1,A,L,W,,,,,,,
china-1994,2,1994-04-24,,sunday,Jiangsu Maint,Guangzhou Taiyangshen,0,0,0,D,D,D,0,0,0,D,D,D,
china-1994,2,1994-04-24,,sunday,Shandong Taishan FC,Liaoning Far East,1,0,1,H,W,L,,,,,,,
china-1994,2,1994-04-24,,sunday,Shanghai Shenhua,Beijing Guoan,4,3,7,H,W,L,,,,,,,
china-1994,2,1994-04-24,,sunday,Shenyang Huayang,Dalian Wanda,1,0,1,H,W,L,,,,,,,
china-1994,2,1994-04-24,,sunday,Sichuan Quanxing,Changchun Yatai,4,0,4,H,W,L,,,,,,,
china-1994,3,1994-05-01,,sunday,Beijing Guoan,Dalian Wanda,2,2,4,D,D,D,,,,,,,
china-1994,3,1994-05-01,,sunday,Guangzhou Taiyangshen,Guangdong Hongyuan,3,1,4,H,W,L,,,,,,,
china-1994,3,1994-05-01,,sunday,Jiangsu Maint,Shandong Taishan FC,0,1,1,A,L,W,,,,,,,
china-1994,3,1994-05-01,,sunday,Liaoning Far East,Changchun Yatai,2,2,4,D,D,D,,,,,,,
china-1994,3,1994-05-01,,sunday,Shanghai Shenhua,August 1st (Army Team),2,0,2,H,W,L,,,,,,,
china-1994,3,1994-05-01,,sunday,Sichuan Quanxing,Shenyang Huayang,2,0,2,H,W,L,,,,,,,
china-1994,5,1994-06-05,,sunday,August 1st (Army Team),Sichuan Quanxing,2,1,3,H,W,L,,,,,,,
china-1994,5,1994-06-05,,sunday,Dalian Wanda,Guangzhou Taiyangshen,2,1,3,H,W,L,,,,,,,
china-1994,5,1994-06-05,,sunday,Guangdong Hongyuan,Jiangsu Maint,5,1,6,H,W,L,,,,,,,
china-1994,5,1994-06-05,,sunday,Changchun Yatai,Beijing Guoan,0,0,0,D,D,D,0,0,0,D,D,D,
china-1994,5,1994-06-05,,sunday,Liaoning Far East,Shenyang Huayang,1,1,2,D,D,D,,,,,,,
china-1994,5,1994-06-05,,sunday,Shandong Taishan FC,Shanghai Shenhua,3,1,4,H,W,L,,,,,,,
china-1994,4,1994-06-08,,wednesday,August 1st (Army Team),Dalian Wanda,0,1,1,A,L,W,,,,,,,
china-1994,4,1994-06-08,,wednesday,Beijing Guoan,Sichuan Quanxing,0,1,1,A,L,W,,,,,,,
china-1994,4,1994-06-08,,wednesday,Guangzhou Taiyangshen,Shanghai Shenhua,2,5,7,A,L,W,,,,,,,
china-1994,4,1994-06-08,,wednesday,Changchun Yatai,Shenyang Huayang,3,2,5,H,W,L,,,,,,,
china-1994,4,1994-06-08,,wednesday,Liaoning Far East,Jiangsu Maint,2,0,2,H,W,L,,,,,,,
china-1994,4,1994-06-08,,wednesday,Shandong Taishan FC,Guangdong Hongyuan,0,1,1,A,L,W,,,,,,,
china-1994,6,1994-06-12,,sunday,August 1st (Army Team),Changchun Yatai,2,1,3,H,W,L,,,,,,,
china-1994,6,1994-06-12,,sunday,Dalian Wanda,Shandong Taishan FC,3,1,4,H,W,L,,,,,,,
china-1994,6,1994-06-12,,sunday,Guangdong Hongyuan,Liaoning Far East,2,0,2,H,W,L,,,,,,,
china-1994,6,1994-06-12,,sunday,Jiangsu Maint,Shanghai Shenhua,1,4,5,A,L,W,,,,,,,
china-1994,6,1994-06-12,,sunday,Shenyang Huayang,Beijing Guoan,0,1,1,A,L,W,,,,,,,
china-1994,6,1994-06-12,,sunday,Sichuan Quanxing,Guangzhou Taiyangshen,0,0,0,D,D,D,0,0,0,D,D,D,
china-1994,7,1994-06-19,,sunday,Beijing Guoan,Liaoning Far East,3,1,4,H,W,L,,,,,,,
china-1994,7,1994-06-19,,sunday,Guangzhou Taiyangshen,Changchun Yatai,1,0,1,H,W,L,,,,,,,
china-1994,7,1994-06-19,,sunday,Jiangsu Maint,Dalian Wanda,1,3,4,A,L,W,,,,,,,
china-1994,7,1994-06-19,,sunday,Shanghai Shenhua,Guangdong Hongyuan,0,0,0,D,D,D,0,0,0,D,D,D,
china-1994,7,1994-06-19,,sunday,Shenyang Huayang,August 1st (Army Team),0,0,0,D,D,D,0,0,0,D,D,D,
china-1994,7,1994-06-19,,sunday,Sichuan Quanxing,Shandong Taishan FC,2,0,2,H,W,L,,,,,,,
china-1994,8,1994-06-26,,sunday,Beijing Guoan,August 1st (Army Team),0,0,0,D,D,D,0,0,0,D,D,D,
china-1994,8,1994-06-26,,sunday,Guangdong Hongyuan,Dalian Wanda,2,1,3,H,W,L,,,,,,,
china-1994,8,1994-06-26,,sunday,Jiangsu Maint,Sichuan Quanxing,1,1,2,D,D,D,,,,,,,
china-1994,8,1994-06-26,,sunday,Changchun Yatai,Shandong Taishan FC,1,1,2,D,D,D,,,,,,,
china-1994,8,1994-06-26,,sunday,Shanghai Shenhua,Liaoning Far East,1,3,4,A,L,W,,,,,,,
china-1994,8,1994-06-26,,sunday,Shenyang Huayang,Guangzhou Taiyangshen,1,1,2,D,D,D,,,,,,,
china-1994,9,1994-07-03,,sunday,Dalian Wanda,Shanghai Shenhua,2,2,4,D,D,D,,,,,,,
china-1994,9,1994-07-03,,sunday,Guangzhou Taiyangshen,Beijing Guoan,3,2,5,H,W,L,,,,,,,
china-1994,9,1994-07-03,,sunday,Jiangsu Maint,Changchun Yatai,1,0,1,H,W,L,,,,,,,
china-1994,9,1994-07-03,,sunday,Liaoning Far East,August 1st (Army Team),2,1,3,H,W,L,,,,,,,
china-1994,9,1994-07-03,,sunday,Shandong Taishan FC,Shenyang Huayang,1,0,1,H,W,L,,,,,,,
china-1994,9,1994-07-03,,sunday,Sichuan Quanxing,Guangdong Hongyuan,1,0,1,H,W,L,,,,,,,
china-1994,10,1994-07-10,,sunday,Dalian Wanda,Liaoning Far East,2,1,3,H,W,L,,,,,,,
china-1994,10,1994-07-10,,sunday,Guangzhou Taiyangshen,August 1st (Army Team),1,0,1,H,W,L,,,,,,,
china-1994,10,1994-07-10,,sunday,Changchun Yatai,Guangdong Hongyuan,1,1,2,D,D,D,,,,,,,
china-1994,10,1994-07-10,,sunday,Shandong Taishan FC,Beijing Guoan,1,1,2,D,D,D,,,,,,,
china-1994,10,1994-07-10,,sunday,Shanghai Shenhua,Sichuan Quanxing,2,1,3,H,W,L,,,,,,,
china-1994,10,1994-07-10,,sunday,Shenyang Huayang,Jiangsu Maint,1,1,2,D,D,D,,,,,,,
china-1994,11,1994-07-17,,sunday,August 1st (Army Team),Shandong Taishan FC,1,0,1,H,W,L,,,,,,,
china-1994,11,1994-07-17,,sunday,Beijing Guoan,Jiangsu Maint,4,1,5,H,W,L,,,,,,,
china-1994,11,1994-07-17,,sunday,Dalian Wanda,Sichuan Quanxing,1,0,1,H,W,L,,,,,,,
china-1994,11,1994-07-17,,sunday,Guangdong Hongyuan,Shenyang Huayang,1,1,2,D,D,D,,,,,,,
china-1994,11,1994-07-17,,sunday,Changchun Yatai,Shanghai Shenhua,3,1,4,H,W,L,,,,,,,
china-1994,11,1994-07-17,,sunday,Liaoning Far East,Guangzhou Taiyangshen,5,0,5,H,W,L,,,,,,,
china-1994,12,1994-07-24,,sunday,Beijing Guoan,Guangdong Hongyuan,2,2,4,D,D,D,,,,,,,
china-1994,12,1994-07-24,,sunday,Dalian Wanda,Changchun Yatai,1,0,1,H,W,L,,,,,,,
china-1994,12,1994-07-24,,sunday,Guangzhou Taiyangshen,Shandong Taishan FC,3,1,4,H,W,L,,,,,,,
