Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
italy-2017-2018,1,2017-08-19,17:00,1503154800,saturday,Juventus,Cagliari Calcio,3,0,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/serie-a-2017-2018-juventus-cagliari-calcio/
italy-2017-2018,1,2017-08-19,19:45,1503164700,saturday,Hellas Verona,SSC Napoli,1,3,4,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/serie-a-2017-2018-hellas-verona-ssc-napoli/
italy-2017-2018,1,2017-08-20,17:00,1503241200,sunday,Atalanta,AS Roma,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-2017-2018-atalanta-as-roma/
italy-2017-2018,1,2017-08-20,19:45,1503251100,sunday,Bologna FC,Torino FC,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-2017-2018-bologna-fc-torino-fc/
italy-2017-2018,1,2017-08-20,19:45,1503251100,sunday,FC Crotone,AC Milan,0,3,3,A,L,W,0,3,3,A,L,W,http://www.worldfootball.net/report/serie-a-2017-2018-fc-crotone-ac-milan/
italy-2017-2018,1,2017-08-20,19:45,1503251100,sunday,Inter,ACF Fiorentina,3,0,3,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/serie-a-2017-2018-inter-acf-fiorentina/
italy-2017-2018,1,2017-08-20,19:45,1503251100,sunday,Lazio Roma,SPAL 2013 Ferrara,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-2017-2018-lazio-roma-spal-2013-ferrara/
italy-2017-2018,1,2017-08-20,19:45,1503251100,sunday,Sampdoria,Benevento Calcio,2,1,3,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-2017-2018-sampdoria-benevento-calcio/
italy-2017-2018,1,2017-08-20,19:45,1503251100,sunday,Sassuolo Calcio,Genoa CFC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-2017-2018-sassuolo-calcio-genoa-cfc/
italy-2017-2018,1,2017-08-20,19:45,1503251100,sunday,Udinese Calcio,Chievo Verona,1,2,3,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-2017-2018-udinese-calcio-chievo-verona/
