Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
italy-1969-1970,1,1969-09-14,,,sunday,Brescia Calcio,AC Milan,1,4,5,A,L,W,0,4,4,A,L,W,http://www.worldfootball.net/report/serie-a-1969-1970-brescia-calcio-ac-milan/
italy-1969-1970,1,1969-09-14,,,sunday,ACF Fiorentina,Hellas Verona,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1969-1970-acf-fiorentina-hellas-verona/
italy-1969-1970,1,1969-09-14,,,sunday,Inter,Bologna FC,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1969-1970-inter-bologna-fc/
italy-1969-1970,1,1969-09-14,,,sunday,Juventus,US Palermo,4,1,5,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-1969-1970-juventus-us-palermo/
italy-1969-1970,1,1969-09-14,,,sunday,Lanerossi Vicenza,SSC Napoli,3,2,5,H,W,L,2,1,3,H,W,L,http://www.worldfootball.net/report/serie-a-1969-1970-vicenza-calcio-ssc-napoli/
italy-1969-1970,1,1969-09-14,,,sunday,Lazio Roma,Torino FC,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1969-1970-lazio-roma-torino-fc/
italy-1969-1970,1,1969-09-14,,,sunday,Sampdoria,Cagliari Calcio,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1969-1970-sampdoria-cagliari-calcio/
italy-1969-1970,1,1969-09-14,,,sunday,AS Bari,AS Roma,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1969-1970-fc-bari-1908-as-roma/
italy-1969-1970,2,1969-09-21,,,sunday,US Palermo,Inter,1,2,3,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-1969-1970-us-palermo-inter/
italy-1969-1970,2,1969-09-21,,,sunday,Hellas Verona,Juventus,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1969-1970-hellas-verona-juventus/
italy-1969-1970,2,1969-09-21,,,sunday,AS Roma,Brescia Calcio,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1969-1970-as-roma-brescia-calcio/
italy-1969-1970,2,1969-09-21,,,sunday,Bologna FC,Lazio Roma,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1969-1970-bologna-fc-lazio-roma/
