Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR
ita-2017-2018,2018-02-05,19:45,Lazio Roma,Genoa CFC,1,2,3,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-02-09,19:45,ACF Fiorentina,Juventus,0,2,2,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-02-10,14:00,SPAL 2013 Ferrara,AC Milan,0,4,4,A,L,W,0,1,1,A,L,W
ita-2017-2018,2018-02-10,17:00,FC Crotone,Atalanta,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2018-02-10,19:45,SSC Napoli,Lazio Roma,4,1,5,H,W,L,1,1,2,D,D,D
ita-2017-2018,2018-02-11,11:30,Sassuolo Calcio,Cagliari Calcio,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2018-02-11,14:00,Inter,Bologna FC,2,1,3,H,W,L,1,1,2,D,D,D
ita-2017-2018,2018-02-11,14:00,Chievo Verona,Genoa CFC,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-02-11,14:00,Sampdoria,Hellas Verona,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-02-11,14:00,Torino FC,Udinese Calcio,2,0,2,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-11,19:45,AS Roma,Benevento Calcio,5,2,7,H,W,L,1,1,2,D,D,D
ita-2017-2018,2018-02-17,14:00,Udinese Calcio,AS Roma,0,2,2,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-02-17,17:00,Chievo Verona,Cagliari Calcio,2,1,3,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-02-17,19:45,Genoa CFC,Inter,2,0,2,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-18,11:30,Torino FC,Juventus,0,1,1,A,L,W,0,1,1,A,L,W
ita-2017-2018,2018-02-18,14:00,Benevento Calcio,FC Crotone,3,2,5,H,W,L,1,1,2,D,D,D
ita-2017-2018,2018-02-18,14:00,Bologna FC,Sassuolo Calcio,2,1,3,H,W,L,1,1,2,D,D,D
ita-2017-2018,2018-02-18,14:00,SSC Napoli,SPAL 2013 Ferrara,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-18,17:00,Atalanta,ACF Fiorentina,1,1,2,D,D,D,1,1,2,D,D,D
ita-2017-2018,2018-02-18,19:45,AC Milan,Sampdoria,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-19,19:45,Lazio Roma,Hellas Verona,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-02-24,17:00,Bologna FC,Genoa CFC,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-02-24,19:45,Inter,Benevento Calcio,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2018-02-25,11:30,FC Crotone,SPAL 2013 Ferrara,2,3,5,A,L,W,0,1,1,A,L,W
ita-2017-2018,2018-02-25,14:00,ACF Fiorentina,Chievo Verona,1,0,1,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-25,14:00,Sassuolo Calcio,Lazio Roma,0,3,3,A,L,W,0,2,2,A,L,W
ita-2017-2018,2018-02-25,14:00,Hellas Verona,Torino FC,2,1,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-25,14:00,Sampdoria,Udinese Calcio,2,1,3,H,W,L,1,0,1,H,W,L
ita-2017-2018,2018-02-25,19:45,AS Roma,AC Milan,0,2,2,A,L,W,0,0,0,D,D,D
ita-2017-2018,2018-02-26,19:45,Cagliari Calcio,SSC Napoli,0,5,5,A,L,W,0,2,2,A,L,W
