Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR
ita-2017-2018,2017-09-17,14:00,SSC Napoli,Benevento Calcio,6,0,6,H,W,L,4,0,4,H,W,L
ita-2017-2018,2017-09-17,14:00,SPAL 2013 Ferrara,Cagliari Calcio,0,2,2,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-09-17,14:00,Torino FC,Sampdoria,2,2,4,D,D,D,2,2,4,D,D,D
ita-2017-2018,2017-09-17,17:00,Chievo Verona,Atalanta,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-09-17,19:45,Genoa CFC,Lazio Roma,2,3,5,A,L,W,0,1,1,A,L,W
ita-2017-2018,2017-09-19,19:45,Bologna FC,Inter,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-09-20,17:00,Benevento Calcio,AS Roma,0,4,4,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-09-20,19:45,Atalanta,FC Crotone,5,1,6,H,W,L,3,0,3,H,W,L
ita-2017-2018,2017-09-20,19:45,Cagliari Calcio,Sassuolo Calcio,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-09-20,19:45,Genoa CFC,Chievo Verona,1,1,2,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-09-20,19:45,Hellas Verona,Sampdoria,0,0,0,D,D,D,0,0,0,D,D,D
ita-2017-2018,2017-09-20,19:45,Juventus,ACF Fiorentina,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-09-20,19:45,Lazio Roma,SSC Napoli,1,4,5,A,L,W,1,0,1,H,W,L
ita-2017-2018,2017-09-20,19:45,AC Milan,SPAL 2013 Ferrara,2,0,2,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-09-20,19:45,Udinese Calcio,Torino FC,2,3,5,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-09-23,14:00,AS Roma,Udinese Calcio,3,1,4,H,W,L,3,0,3,H,W,L
ita-2017-2018,2017-09-23,17:00,SPAL 2013 Ferrara,SSC Napoli,2,3,5,A,L,W,1,1,2,D,D,D
ita-2017-2018,2017-09-23,19:45,Juventus,Torino FC,4,0,4,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-09-24,11:30,Sampdoria,AC Milan,2,0,2,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-09-24,14:00,Cagliari Calcio,Chievo Verona,0,2,2,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-09-24,14:00,FC Crotone,Benevento Calcio,2,0,2,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-09-24,14:00,Hellas Verona,Lazio Roma,0,3,3,A,L,W,0,2,2,A,L,W
ita-2017-2018,2017-09-24,14:00,Inter,Genoa CFC,1,0,1,H,W,L,0,0,0,D,D,D
ita-2017-2018,2017-09-24,17:00,Sassuolo Calcio,Bologna FC,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-09-24,19:45,ACF Fiorentina,Atalanta,1,1,2,D,D,D,1,0,1,H,W,L
ita-2017-2018,2017-09-30,17:00,Udinese Calcio,Sampdoria,4,0,4,H,W,L,1,0,1,H,W,L
ita-2017-2018,2017-09-30,19:45,Genoa CFC,Bologna FC,0,1,1,A,L,W,0,0,0,D,D,D
ita-2017-2018,2017-10-01,11:30,SSC Napoli,Cagliari Calcio,3,0,3,H,W,L,2,0,2,H,W,L
ita-2017-2018,2017-10-01,14:00,Benevento Calcio,Inter,1,2,3,A,L,W,1,2,3,A,L,W
ita-2017-2018,2017-10-01,14:00,Chievo Verona,ACF Fiorentina,2,1,3,H,W,L,1,1,2,D,D,D
