Div,Round,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
costa rica-2017-2018-clausura,1,2018-01-06,20:00,AD Carmelita,CS Cartaginés,2,1,3,H,W,L,0,1,1,A,L,W,
costa rica-2017-2018-clausura,1,2018-01-07,19:00,Municipal Grecia,LD Alajuelense,1,2,3,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,1,2018-01-07,20:30,Universidad de Costa Rica,CS Herediano,0,1,1,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,1,2018-01-07,21:00,Limón FC,Municipal Pérez Zeledón,1,1,2,D,D,D,1,1,2,D,D,D,
costa rica-2017-2018-clausura,1,2018-01-07,21:00,Santos de Guápiles,Guadalupe,1,1,2,D,D,D,1,0,1,H,W,L,
costa rica-2017-2018-clausura,1,2018-01-08,00:00,Municipal Liberia,Deportivo Saprissa,0,3,3,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,2,2018-01-10,02:00,CS Herediano,AD Carmelita,0,1,1,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,2,2018-01-10,21:00,Guadalupe,Municipal Grecia,2,1,3,H,W,L,0,1,1,A,L,W,
costa rica-2017-2018-clausura,2,2018-01-11,02:00,LD Alajuelense,Limón FC,1,0,1,H,W,L,0,0,0,D,D,D,
costa rica-2017-2018-clausura,2,2018-01-11,02:00,CS Cartaginés,Universidad de Costa Rica,1,1,2,D,D,D,1,0,1,H,W,L,
costa rica-2017-2018-clausura,2,2018-01-11,02:00,Deportivo Saprissa,Santos de Guápiles,1,0,1,H,W,L,0,0,0,D,D,D,
costa rica-2017-2018-clausura,2,2018-01-11,02:00,Municipal Pérez Zeledón,Municipal Liberia,2,2,4,D,D,D,2,1,3,H,W,L,
costa rica-2017-2018-clausura,3,2018-01-13,20:30,Universidad de Costa Rica,Municipal Pérez Zeledón,2,1,3,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,3,2018-01-14,02:00,Municipal Liberia,Guadalupe,0,0,0,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,3,2018-01-14,17:00,LD Alajuelense,CS Herediano,1,0,1,H,W,L,1,0,1,H,W,L,
costa rica-2017-2018-clausura,3,2018-01-14,22:00,CS Cartaginés,Deportivo Saprissa,0,3,3,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,4,2018-01-17,21:00,Guadalupe,CS Cartaginés,1,0,1,H,W,L,1,0,1,H,W,L,
costa rica-2017-2018-clausura,4,2018-01-17,21:00,Limón FC,Universidad de Costa Rica,1,1,2,D,D,D,1,1,2,D,D,D,
costa rica-2017-2018-clausura,4,2018-01-18,02:00,CS Herediano,Municipal Grecia,3,0,3,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,4,2018-01-18,02:00,Santos de Guápiles,Municipal Liberia,2,0,2,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,4,2018-01-18,02:00,Deportivo Saprissa,AD Carmelita,3,1,4,H,W,L,0,0,0,D,D,D,
costa rica-2017-2018-clausura,4,2018-01-19,02:00,Municipal Pérez Zeledón,LD Alajuelense,4,1,5,H,W,L,3,0,3,H,W,L,
costa rica-2017-2018-clausura,5,2018-01-20,20:30,Universidad de Costa Rica,Guadalupe,2,2,4,D,D,D,0,1,1,A,L,W,
costa rica-2017-2018-clausura,5,2018-01-21,02:00,CS Herediano,Deportivo Saprissa,1,0,1,H,W,L,1,0,1,H,W,L,
costa rica-2017-2018-clausura,5,2018-01-21,21:00,AD Carmelita,Municipal Pérez Zeledón,0,1,1,A,L,W,0,0,0,D,D,D,
costa rica-2017-2018-clausura,5,2018-01-21,21:00,Municipal Grecia,Santos de Guápiles,0,0,0,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,5,2018-01-21,21:00,Municipal Liberia,Limón FC,3,1,4,H,W,L,2,1,3,H,W,L,
costa rica-2017-2018-clausura,5,2018-01-21,22:00,CS Cartaginés,LD Alajuelense,1,1,2,D,D,D,1,0,1,H,W,L,
costa rica-2017-2018-clausura,6,2018-01-24,02:00,Guadalupe,CS Herediano,1,1,2,D,D,D,0,1,1,A,L,W,
costa rica-2017-2018-clausura,6,2018-01-24,21:00,Limón FC,AD Carmelita,0,1,1,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,6,2018-01-25,02:00,LD Alajuelense,Municipal Liberia,4,0,4,H,W,L,3,0,3,H,W,L,
costa rica-2017-2018-clausura,6,2018-01-25,02:00,Santos de Guápiles,Universidad de Costa Rica,4,1,5,H,W,L,3,0,3,H,W,L,
costa rica-2017-2018-clausura,6,2018-01-25,02:00,Deportivo Saprissa,Municipal Grecia,2,2,4,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,6,2018-01-25,02:00,Municipal Pérez Zeledón,CS Cartaginés,3,2,5,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,7,2018-01-27,20:30,Universidad de Costa Rica,Municipal Liberia,2,0,2,H,W,L,1,0,1,H,W,L,
costa rica-2017-2018-clausura,7,2018-01-27,21:00,AD Carmelita,Guadalupe,1,4,5,A,L,W,1,1,2,D,D,D,
costa rica-2017-2018-clausura,7,2018-01-28,02:00,CS Herediano,Municipal Pérez Zeledón,2,0,2,H,W,L,1,0,1,H,W,L,
costa rica-2017-2018-clausura,7,2018-01-28,17:00,Deportivo Saprissa,LD Alajuelense,3,1,4,H,W,L,3,0,3,H,W,L,
costa rica-2017-2018-clausura,7,2018-01-28,21:00,Municipal Grecia,CS Cartaginés,0,0,0,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,7,2018-01-28,22:00,Santos de Guápiles,Limón FC,1,1,2,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,8,2018-01-31,20:30,Universidad de Costa Rica,Deportivo Saprissa,1,0,1,H,W,L,0,0,0,D,D,D,
costa rica-2017-2018-clausura,8,2018-01-31,21:00,Limón FC,CS Herediano,0,1,1,A,L,W,0,0,0,D,D,D,
costa rica-2017-2018-clausura,8,2018-02-01,02:00,CS Cartaginés,Santos de Guápiles,0,3,3,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,8,2018-02-01,02:00,Municipal Liberia,AD Carmelita,0,1,1,A,L,W,0,0,0,D,D,D,
costa rica-2017-2018-clausura,8,2018-02-01,02:00,Municipal Pérez Zeledón,Municipal Grecia,1,0,1,H,W,L,0,0,0,D,D,D,
costa rica-2017-2018-clausura,8,2018-02-03,02:00,LD Alajuelense,Guadalupe,1,0,1,H,W,L,1,0,1,H,W,L,
costa rica-2017-2018-clausura,9,2018-02-07,01:00,AD Carmelita,Universidad de Costa Rica,1,0,1,H,W,L,0,0,0,D,D,D,
costa rica-2017-2018-clausura,9,2018-02-07,21:00,Guadalupe,Limón FC,1,2,3,A,L,W,1,0,1,H,W,L,
costa rica-2017-2018-clausura,9,2018-02-08,02:00,CS Herediano,CS Cartaginés,3,0,3,H,W,L,0,0,0,D,D,D,
costa rica-2017-2018-clausura,9,2018-02-08,02:00,Deportivo Saprissa,Municipal Pérez Zeledón,3,0,3,H,W,L,1,0,1,H,W,L,
costa rica-2017-2018-clausura,9,2018-02-08,21:00,Municipal Grecia,Municipal Liberia,2,0,2,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,9,2018-02-09,02:00,Santos de Guápiles,LD Alajuelense,0,0,0,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,10,2018-02-11,02:00,CS Herediano,Municipal Liberia,6,3,9,H,W,L,5,2,7,H,W,L,
costa rica-2017-2018-clausura,10,2018-02-11,19:30,Municipal Pérez Zeledón,Santos de Guápiles,2,1,3,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,10,2018-02-11,21:00,Municipal Grecia,AD Carmelita,2,1,3,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,10,2018-02-11,23:00,LD Alajuelense,Universidad de Costa Rica,4,0,4,H,W,L,2,0,2,H,W,L,
costa rica-2017-2018-clausura,11,2018-02-14,20:30,Universidad de Costa Rica,Municipal Grecia,1,2,3,A,L,W,0,0,0,D,D,D,
costa rica-2017-2018-clausura,11,2018-02-14,21:00,Guadalupe,Municipal Pérez Zeledón,0,0,0,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,11,2018-02-14,21:00,Limón FC,Deportivo Saprissa,3,2,5,H,W,L,1,1,2,D,D,D,
costa rica-2017-2018-clausura,11,2018-02-15,02:00,AD Carmelita,LD Alajuelense,0,5,5,A,L,W,0,1,1,A,L,W,
costa rica-2017-2018-clausura,11,2018-02-15,02:00,Municipal Liberia,CS Cartaginés,1,1,2,D,D,D,0,1,1,A,L,W,
costa rica-2017-2018-clausura,11,2018-02-15,02:00,Santos de Guápiles,CS Herediano,0,0,0,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,12,2018-02-18,02:00,CS Herediano,Universidad de Costa Rica,1,1,2,D,D,D,0,0,0,D,D,D,
costa rica-2017-2018-clausura,12,2018-02-18,19:30,CS Cartaginés,AD Carmelita,4,1,5,H,W,L,2,1,3,H,W,L,
costa rica-2017-2018-clausura,12,2018-02-18,19:30,Municipal Pérez Zeledón,Limón FC,2,2,4,D,D,D,0,1,1,A,L,W,
costa rica-2017-2018-clausura,12,2018-02-18,21:00,Guadalupe,Santos de Guápiles,2,3,5,A,L,W,0,0,0,D,D,D,
costa rica-2017-2018-clausura,12,2018-02-18,22:00,Deportivo Saprissa,Municipal Liberia,1,0,1,H,W,L,1,0,1,H,W,L,
