Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
uruguay-2003-clausura,1,2003-07-18,17:30,200307181730,friday,Central Español,Deportivo Maldonado,2,0,2,H,W,L,,,,,,,
uruguay-2003-clausura,1,2003-07-19,17:30,200307191730,saturday,Bella Vista,Montevideo Wanderers,0,1,1,A,L,W,,,,,,,
uruguay-2003-clausura,1,2003-07-20,17:30,200307201730,sunday,Plaza Colonia,CA Fénix,2,2,4,D,D,D,,,,,,,
uruguay-2003-clausura,1,2003-07-20,17:30,200307201730,sunday,River Plate,Deportivo Colonia,3,2,5,H,W,L,,,,,,,
uruguay-2003-clausura,1,2003-07-20,17:30,200307201730,sunday,Miramar Misiones,Liverpool FC,1,1,2,D,D,D,,,,,,,
uruguay-2003-clausura,1,2003-07-20,17:30,200307201730,sunday,Danubio FC,CA Juventud,1,0,1,H,W,L,,,,,,,
uruguay-2003-clausura,1,2003-07-20,17:30,200307201730,sunday,Villa Española,CA Cerro,1,2,3,A,L,W,,,,,,,
uruguay-2003-clausura,1,2003-07-20,18:15,200307201815,sunday,Defensor Sporting,CA Peñarol,0,2,2,A,L,W,,,,,,,
uruguay-2003-clausura,2,2003-07-26,17:30,200307261730,saturday,Nacional,River Plate,3,1,4,H,W,L,,,,,,,
uruguay-2003-clausura,2,2003-07-26,17:30,200307261730,saturday,Tacuarembó FC,Liverpool FC,1,1,2,D,D,D,,,,,,,
uruguay-2003-clausura,2,2003-07-27,17:30,200307271730,sunday,Deportivo Maldonado,CA Juventud,3,0,3,H,W,L,,,,,,,
uruguay-2003-clausura,2,2003-07-27,17:30,200307271730,sunday,Defensor Sporting,CA Fénix,1,3,4,A,L,W,,,,,,,
uruguay-2003-clausura,2,2003-07-27,17:30,200307271730,sunday,CA Peñarol,Plaza Colonia,1,0,1,H,W,L,,,,,,,
uruguay-2003-clausura,2,2003-07-27,17:30,200307271730,sunday,Central Español,Danubio FC,0,3,3,A,L,W,,,,,,,
uruguay-2003-clausura,2,2003-07-27,17:30,200307271730,sunday,CA Cerro,Bella Vista,0,1,1,A,L,W,,,,,,,
uruguay-2003-clausura,2,2003-07-27,17:30,200307271730,sunday,Deportivo Colonia,Miramar Misiones,1,1,2,D,D,D,,,,,,,
uruguay-2003-clausura,2,2003-07-27,17:30,200307271730,sunday,Villa Española,Montevideo Wanderers,1,1,2,D,D,D,,,,,,,
uruguay-2003-clausura,1,2003-07-29,17:30,200307291730,tuesday,Nacional,Tacuarembó FC,2,3,5,A,L,W,,,,,,,
uruguay-2003-clausura,3,2003-08-02,17:30,200308021730,saturday,Nacional,Deportivo Colonia,1,1,2,D,D,D,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,Villa Española,Danubio FC,3,3,6,D,D,D,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,CA Fénix,Central Español,1,0,1,H,W,L,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,Plaza Colonia,Defensor Sporting,1,0,1,H,W,L,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,Deportivo Maldonado,CA Cerro,1,0,1,H,W,L,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,CA Peñarol,CA Juventud,1,0,1,H,W,L,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,Liverpool FC,Montevideo Wanderers,2,1,3,H,W,L,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,Miramar Misiones,Bella Vista,0,1,1,A,L,W,,,,,,,
uruguay-2003-clausura,3,2003-08-03,17:30,200308031730,sunday,River Plate,Tacuarembó FC,1,0,1,H,W,L,,,,,,,
uruguay-2003-clausura,4,2003-08-09,17:30,200308091730,saturday,Deportivo Colonia,Defensor Sporting,1,4,5,A,L,W,,,,,,,
uruguay-2003-clausura,4,2003-08-09,17:30,200308091730,saturday,Montevideo Wanderers,CA Peñarol,1,2,3,A,L,W,,,,,,,
