Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAR,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
turkey-1959,1,1959-02-21,,195902210000,saturday,Ankara Demirspor,Galatasaray,0,2,2,A,L,W,0,1,1,A,L,W,
turkey-1959,1,1959-02-21,,195902210000,saturday,Gençlerbirliği,Adalet Istanbul,1,1,2,D,D,D,0,1,1,A,L,W,
turkey-1959,1,1959-02-21,,195902210000,saturday,Fenerbahçe,MKE Ankaragücü,3,1,4,H,W,L,1,1,2,D,D,D,
turkey-1959,1,1959-02-21,,195902210000,saturday,Altay Izmir,Beşiktaş,1,2,3,A,L,W,0,1,1,A,L,W,
turkey-1959,1,1959-02-21,,195902210000,saturday,Izmirspor,Beykozspor,2,1,3,H,W,L,2,0,2,H,W,L,
turkey-1959,1,1959-02-21,,195902210000,saturday,Istanbulspor,Hacettepe,0,2,2,A,L,W,0,0,0,D,D,D,
turkey-1959,1,1959-02-22,,195902220000,sunday,Ankara Demirspor,Adalet Istanbul,2,0,2,H,W,L,2,0,2,H,W,L,
turkey-1959,1,1959-02-22,,195902220000,sunday,Gençlerbirliği,Galatasaray,0,0,0,D,D,D,0,0,0,D,D,D,
turkey-1959,1,1959-02-22,,195902220000,sunday,Fenerbahçe,Hacettepe,2,1,3,H,W,L,1,0,1,H,W,L,
turkey-1959,1,1959-02-22,,195902220000,sunday,Altay Izmir,Beykozspor,2,2,4,D,D,D,0,1,1,A,L,W,
turkey-1959,1,1959-02-22,,195902220000,sunday,Izmirspor,Beşiktaş,1,1,2,D,D,D,0,1,1,A,L,W,
turkey-1959,1,1959-02-22,,195902220000,sunday,Istanbulspor,MKE Ankaragücü,1,1,2,D,D,D,0,0,0,D,D,D,
turkey-1959,2,1959-02-25,,195902250000,wednesday,Vefa Istanbul,Fatih Karagümrük SK,1,0,1,H,W,L,0,0,0,D,D,D,
turkey-1959,2,1959-02-25,,195902250000,wednesday,Beykozspor,Beşiktaş,1,0,1,H,W,L,0,0,0,D,D,D,
turkey-1959,2,1959-02-28,,195902280000,saturday,Galatasaray,Karşıyaka SK,1,1,2,D,D,D,1,0,1,H,W,L,
turkey-1959,2,1959-02-28,,195902280000,saturday,Adalet Istanbul,Göztepe,0,0,0,D,D,D,0,0,0,D,D,D,
turkey-1959,2,1959-02-28,,195902280000,saturday,Altay Izmir,Fenerbahçe,0,1,1,A,L,W,0,1,1,A,L,W,
turkey-1959,2,1959-02-28,,195902280000,saturday,Izmirspor,Istanbulspor,2,0,2,H,W,L,0,0,0,D,D,D,
turkey-1959,2,1959-03-01,,195903010000,sunday,Galatasaray,Göztepe,0,0,0,D,D,D,0,0,0,D,D,D,
turkey-1959,2,1959-03-01,,195903010000,sunday,Adalet Istanbul,Karşıyaka SK,0,0,0,D,D,D,0,0,0,D,D,D,
turkey-1959,2,1959-03-01,,195903010000,sunday,Altay Izmir,Istanbulspor,2,0,2,H,W,L,0,0,0,D,D,D,
