Div,Round,Date,Time,timestamp,Weekday,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
italy-1970-1971,1,1970-09-27,,,sunday,SSC Napoli,AS Varese 1910,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-ssc-napoli-as-varese-1910/
italy-1970-1971,1,1970-09-27,,,sunday,Hellas Verona,Inter,1,2,3,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-hellas-verona-inter/
italy-1970-1971,1,1970-09-27,,,sunday,Torino FC,US Foggia,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-torino-fc-us-foggia/
italy-1970-1971,1,1970-09-27,,,sunday,AS Roma,ACF Fiorentina,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-as-roma-acf-fiorentina/
italy-1970-1971,1,1970-09-27,,,sunday,Calcio Catania,Juventus,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-calcio-catania-juventus/
italy-1970-1971,1,1970-09-27,,,sunday,AC Milan,Lazio Roma,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-ac-milan-lazio-roma/
italy-1970-1971,1,1970-09-27,,,sunday,Bologna FC,Lanerossi Vicenza,3,0,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-bologna-fc-vicenza-calcio/
italy-1970-1971,1,1970-09-27,,,sunday,Cagliari Calcio,Sampdoria,2,1,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-cagliari-calcio-sampdoria/
italy-1970-1971,2,1970-10-07,,,wednesday,Juventus,Bologna FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-juventus-bologna-fc/
italy-1970-1971,2,1970-10-07,,,wednesday,AS Varese 1910,Torino FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-as-varese-1910-torino-fc/
italy-1970-1971,2,1970-10-07,,,wednesday,Sampdoria,SSC Napoli,0,1,1,A,L,W,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-sampdoria-ssc-napoli/
italy-1970-1971,2,1970-10-07,,,wednesday,Lanerossi Vicenza,Calcio Catania,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-vicenza-calcio-calcio-catania/
italy-1970-1971,2,1970-10-07,,,wednesday,Inter,AS Roma,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-inter-as-roma/
italy-1970-1971,2,1970-10-07,,,wednesday,US Foggia,AC Milan,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-us-foggia-ac-milan/
italy-1970-1971,2,1970-10-07,,,wednesday,ACF Fiorentina,Hellas Verona,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-acf-fiorentina-hellas-verona/
italy-1970-1971,2,1970-10-07,,,wednesday,Lazio Roma,Cagliari Calcio,2,4,6,A,L,W,1,2,3,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-lazio-roma-cagliari-calcio/
italy-1970-1971,3,1970-10-11,,,sunday,AC Milan,Sampdoria,3,1,4,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-ac-milan-sampdoria/
italy-1970-1971,3,1970-10-11,,,sunday,SSC Napoli,US Foggia,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-ssc-napoli-us-foggia/
italy-1970-1971,3,1970-10-11,,,sunday,Hellas Verona,Juventus,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-hellas-verona-juventus/
italy-1970-1971,3,1970-10-11,,,sunday,Torino FC,Lazio Roma,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-torino-fc-lazio-roma/
italy-1970-1971,3,1970-10-11,,,sunday,Bologna FC,Inter,2,2,4,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-bologna-fc-inter/
italy-1970-1971,3,1970-10-11,,,sunday,Calcio Catania,ACF Fiorentina,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-calcio-catania-acf-fiorentina/
italy-1970-1971,3,1970-10-11,,,sunday,Cagliari Calcio,AS Varese 1910,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-cagliari-calcio-as-varese-1910/
italy-1970-1971,3,1970-10-11,,,sunday,AS Roma,Lanerossi Vicenza,4,1,5,H,W,L,3,0,3,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-as-roma-vicenza-calcio/
italy-1970-1971,4,1970-10-25,,,sunday,Juventus,AC Milan,0,2,2,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-juventus-ac-milan/
italy-1970-1971,4,1970-10-25,,,sunday,AS Varese 1910,AS Roma,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-as-varese-1910-as-roma/
italy-1970-1971,4,1970-10-25,,,sunday,Sampdoria,Calcio Catania,2,0,2,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-sampdoria-calcio-catania/
italy-1970-1971,4,1970-10-25,,,sunday,Lanerossi Vicenza,Torino FC,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-vicenza-calcio-torino-fc/
italy-1970-1971,4,1970-10-25,,,sunday,Inter,Cagliari Calcio,1,3,4,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-inter-cagliari-calcio/
italy-1970-1971,4,1970-10-25,,,sunday,US Foggia,Bologna FC,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-us-foggia-bologna-fc/
italy-1970-1971,4,1970-10-25,,,sunday,ACF Fiorentina,SSC Napoli,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-acf-fiorentina-ssc-napoli/
italy-1970-1971,4,1970-10-25,,,sunday,Lazio Roma,Hellas Verona,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-lazio-roma-hellas-verona/
italy-1970-1971,5,1970-11-08,,,sunday,AC Milan,Inter,3,0,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-ac-milan-inter/
italy-1970-1971,5,1970-11-08,,,sunday,SSC Napoli,Juventus,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-ssc-napoli-juventus/
italy-1970-1971,5,1970-11-08,,,sunday,Hellas Verona,Lanerossi Vicenza,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-hellas-verona-vicenza-calcio/
italy-1970-1971,5,1970-11-08,,,sunday,Torino FC,ACF Fiorentina,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-torino-fc-acf-fiorentina/
italy-1970-1971,5,1970-11-08,,,sunday,Bologna FC,Lazio Roma,2,0,2,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-bologna-fc-lazio-roma/
italy-1970-1971,5,1970-11-08,,,sunday,Calcio Catania,AS Varese 1910,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-calcio-catania-as-varese-1910/
italy-1970-1971,5,1970-11-08,,,sunday,Cagliari Calcio,US Foggia,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-cagliari-calcio-us-foggia/
italy-1970-1971,5,1970-11-08,,,sunday,AS Roma,Sampdoria,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-as-roma-sampdoria/
italy-1970-1971,6,1970-11-15,,,sunday,Juventus,Cagliari Calcio,2,1,3,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-juventus-cagliari-calcio/
italy-1970-1971,6,1970-11-15,,,sunday,AS Varese 1910,Bologna FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-as-varese-1910-bologna-fc/
italy-1970-1971,6,1970-11-15,,,sunday,Sampdoria,Hellas Verona,3,0,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-sampdoria-hellas-verona/
italy-1970-1971,6,1970-11-15,,,sunday,Lanerossi Vicenza,SSC Napoli,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-vicenza-calcio-ssc-napoli/
italy-1970-1971,6,1970-11-15,,,sunday,Inter,Torino FC,2,0,2,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-inter-torino-fc/
italy-1970-1971,6,1970-11-15,,,sunday,US Foggia,Calcio Catania,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-us-foggia-calcio-catania/
italy-1970-1971,6,1970-11-15,,,sunday,ACF Fiorentina,AC Milan,2,5,7,A,L,W,0,3,3,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-acf-fiorentina-ac-milan/
italy-1970-1971,6,1970-11-15,,,sunday,Lazio Roma,AS Roma,1,1,2,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-lazio-roma-as-roma/
italy-1970-1971,7,1970-11-22,,,sunday,AC Milan,Lanerossi Vicenza,3,1,4,H,W,L,2,1,3,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-ac-milan-vicenza-calcio/
italy-1970-1971,7,1970-11-22,,,sunday,SSC Napoli,Inter,2,1,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-ssc-napoli-inter/
italy-1970-1971,7,1970-11-22,,,sunday,Hellas Verona,AS Varese 1910,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-hellas-verona-as-varese-1910/
italy-1970-1971,7,1970-11-22,,,sunday,Torino FC,Juventus,2,1,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-torino-fc-juventus/
italy-1970-1971,7,1970-11-22,,,sunday,Calcio Catania,Lazio Roma,3,1,4,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-calcio-catania-lazio-roma/
italy-1970-1971,7,1970-11-22,,,sunday,Cagliari Calcio,ACF Fiorentina,2,0,2,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/serie-a-1970-1971-cagliari-calcio-acf-fiorentina/
italy-1970-1971,7,1970-11-22,,,sunday,Bologna FC,Sampdoria,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-bologna-fc-sampdoria/
italy-1970-1971,7,1970-11-22,,,sunday,AS Roma,US Foggia,3,1,4,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-as-roma-us-foggia/
italy-1970-1971,8,1970-11-29,,,sunday,Juventus,AS Roma,2,0,2,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-juventus-as-roma/
italy-1970-1971,8,1970-11-29,,,sunday,Sampdoria,Torino FC,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-sampdoria-torino-fc/
italy-1970-1971,8,1970-11-29,,,sunday,Lanerossi Vicenza,Cagliari Calcio,1,1,2,D,D,D,0,1,1,A,L,W,http://www.worldfootball.net/report/serie-a-1970-1971-vicenza-calcio-cagliari-calcio/
italy-1970-1971,8,1970-11-29,,,sunday,AS Varese 1910,AC Milan,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-as-varese-1910-ac-milan/
italy-1970-1971,8,1970-11-29,,,sunday,Inter,Calcio Catania,3,2,5,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/serie-a-1970-1971-inter-calcio-catania/
