Div,Round,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTG,FTR,FTHR,FTAW,HTHG,HTAG,HTG,HTR,HTHR,HTAR,Report_url
czech republic-2017-2018,1,2017-07-28,17:00,FC Zbrojovka Brno,Baník Ostrava,1,3,4,A,L,W,1,1,2,D,D,D,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-fc-zbrojovka-brno-banik-ostrava/
czech republic-2017-2018,1,2017-07-29,16:00,MFK Karvina,Vysočina Jihlava,2,0,2,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-mfk-karvina-vysocina-jihlava/
czech republic-2017-2018,1,2017-07-29,16:00,Viktoria Plzeň,FK Dukla Praha,4,0,4,H,W,L,4,0,4,H,W,L,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-viktoria-plzen-fk-dukla-praha/
czech republic-2017-2018,1,2017-07-29,16:00,1. FC Slovácko,FK Jablonec,1,1,2,D,D,D,1,1,2,D,D,D,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-1-fc-slovacko-fk-jablonec/
czech republic-2017-2018,1,2017-07-29,19:00,Slavia Praha,FK Teplice,1,0,1,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-slavia-praha-fk-teplice/
czech republic-2017-2018,1,2017-07-30,16:00,Slovan Liberec,FC FASTAV Zlín,1,0,1,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-slovan-liberec-fc-fastav-zlin/
czech republic-2017-2018,1,2017-07-30,16:00,FK Mladá Boleslav,Sigma Olomouc,1,2,3,A,L,W,0,2,2,A,L,W,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-fk-mlada-boleslav-sigma-olomouc/
czech republic-2017-2018,1,2017-07-30,18:00,Sparta Praha,Bohemians 1905,1,1,2,D,D,D,1,0,1,H,W,L,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-sparta-praha-bohemians-1905/
czech republic-2017-2018,2,2017-08-05,16:00,Bohemians 1905,MFK Karvina,2,1,3,H,W,L,1,1,2,D,D,D,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-bohemians-1905-mfk-karvina/
czech republic-2017-2018,2,2017-08-05,16:00,Sigma Olomouc,Slovan Liberec,2,1,3,H,W,L,1,0,1,H,W,L,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-sigma-olomouc-slovan-liberec/
czech republic-2017-2018,2,2017-08-05,16:00,FK Teplice,FK Dukla Praha,3,1,4,H,W,L,2,0,2,H,W,L,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-fk-teplice-fk-dukla-praha/
czech republic-2017-2018,2,2017-08-05,16:00,FC FASTAV Zlín,FC Zbrojovka Brno,2,1,3,H,W,L,0,0,0,D,D,D,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-fc-fastav-zlin-fc-zbrojovka-brno/
czech republic-2017-2018,2,2017-08-06,15:00,FK Jablonec,Viktoria Plzeň,0,1,1,A,L,W,0,1,1,A,L,W,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-fk-jablonec-viktoria-plzen/
czech republic-2017-2018,2,2017-08-06,15:00,Vysočina Jihlava,1. FC Slovácko,0,0,0,D,D,D,0,0,0,D,D,D,http://www.worldfootball.net/report/1-fotbalova-liga-2017-2018-vysocina-jihlava-1-fc-slovacko/
